Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T100_001,SE_T100_002,SE_T100_003,SE_T100_004,SE_T100_005,SE_T100_006,SE_T100_007,SE_T100_008,SE_T100_009,SE_T100_010,SE_T101_001,SE_T102_001,SE_T102_002,SE_T102_003,SE_T102_004,SE_T102_005,SE_T102_006,SE_T102_007,SE_T102_008,SE_T102_009,SE_T104_001,SE_T105_001
"250092011001","15000US250092011001","Block Group 1, Census Tract 2011, Essex County, Massachusetts","Block Group 1, Census Tract 2011, Essex County, Massachusetts","ma","150","00","ACSSF","0003139",,,,,"25","009",,,,"201100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,22,0,0,8,11,5,19,18,20,34,52,38,0,10,69,11,62557,248,0,0,0,0,35,111,84,18,0,446300,61,0,0,0,17,11,22,11,0,1278,28.1000003814697
"250092011002","15000US250092011002","Block Group 2, Census Tract 2011, Essex County, Massachusetts","Block Group 2, Census Tract 2011, Essex County, Massachusetts","ma","150","00","ACSSF","0003140",,,,,"25","009",,,,"201100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,10,78,50,0,11,0,0,9,0,20,31,31,16,0,19,27,40556,189,0,0,0,0,0,65,71,42,11,603900,104,78,10,0,0,6,10,0,0,264,28.2999992370605
"250092011003","15000US250092011003","Block Group 3, Census Tract 2011, Essex County, Massachusetts","Block Group 3, Census Tract 2011, Essex County, Massachusetts","ma","150","00","ACSSF","0003141",,,,,"25","009",,,,"201100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,27,20,12,7,31,0,9,9,0,18,39,20,50,17,92,40,100875,284,0,0,11,0,29,78,132,0,34,545500,107,0,0,7,27,37,0,23,13,1132,33.9000015258789
"250092011004","15000US250092011004","Block Group 4, Census Tract 2011, Essex County, Massachusetts","Block Group 4, Census Tract 2011, Essex County, Massachusetts","ma","150","00","ACSSF","0003142",,,,,"25","009",,,,"201100","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583,0,15,11,0,30,10,50,48,46,49,85,42,33,85,55,24,67642,329,7,6,0,0,40,176,78,12,10,415100,254,6,0,29,20,66,96,37,0,1266,28.6000003814697
"250092021011","15000US250092021011","Block Group 1, Census Tract 2021.01, Essex County, Massachusetts","Block Group 1, Census Tract 2021.01, Essex County, Massachusetts","ma","150","00","ACSSF","0003143",,,,,"25","009",,,,"202101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,5,0,0,0,0,5,0,4,16,21,33,53,30,22,44,32,99135,242,0,0,0,0,31,148,32,25,6,441400,23,0,16,0,0,0,0,7,0,,
"250092021012","15000US250092021012","Block Group 2, Census Tract 2021.01, Essex County, Massachusetts","Block Group 2, Census Tract 2021.01, Essex County, Massachusetts","ma","150","00","ACSSF","0003144",,,,,"25","009",,,,"202101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,0,0,0,0,0,0,18,0,4,5,25,33,16,26,38,58,129519,152,0,0,0,0,12,64,65,5,6,500000,71,0,0,0,13,36,22,0,0,1156,16.5
"250092021013","15000US250092021013","Block Group 3, Census Tract 2021.01, Essex County, Massachusetts","Block Group 3, Census Tract 2021.01, Essex County, Massachusetts","ma","150","00","ACSSF","0003145",,,,,"25","009",,,,"202101","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,0,9,24,0,15,0,0,0,4,16,17,35,59,16,6,61,105000,177,0,0,5,0,21,108,43,0,0,390600,72,0,0,0,17,23,11,21,0,1207,19.2000007629395
"250092021021","15000US250092021021","Block Group 1, Census Tract 2021.02, Essex County, Massachusetts","Block Group 1, Census Tract 2021.02, Essex County, Massachusetts","ma","150","00","ACSSF","0003146",,,,,"25","009",,,,"202102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,27,11,58,53,0,0,11,0,0,0,22,71,98,89,16,50,102500,413,10,0,0,0,34,358,11,0,0,383800,93,11,11,11,0,0,19,41,0,1428,45.9000015258789
"250092021022","15000US250092021022","Block Group 2, Census Tract 2021.02, Essex County, Massachusetts","Block Group 2, Census Tract 2021.02, Essex County, Massachusetts","ma","150","00","ACSSF","0003147",,,,,"25","009",,,,"202102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,31,44,12,28,14,39,0,10,0,39,56,80,10,74,104,9,92639,332,0,14,0,0,153,152,13,0,0,299500,203,12,31,14,12,53,32,49,0,1153,34.0999984741211
"250092021023","15000US250092021023","Block Group 3, Census Tract 2021.02, Essex County, Massachusetts","Block Group 3, Census Tract 2021.02, Essex County, Massachusetts","ma","150","00","ACSSF","0003148",,,,,"25","009",,,,"202102","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,20,79,34,26,53,32,46,12,44,93,99,156,92,10,0,34,55833,509,0,0,0,34,334,108,23,0,10,246400,321,0,0,13,20,20,68,168,32,1618,34.7000007629395
