Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T080_001,SE_T080_002,SE_T080_003,SE_T102_001,SE_T102_002,SE_T102_003,SE_T102_004,SE_T102_005,SE_T102_006,SE_T102_007,SE_T102_008,SE_T102_009,SE_T103_001,SE_T103_002,SE_T103_003,SE_T103_004,SE_T103_005,SE_T103_006,SE_T104_001
"25009201100","14000US25009201100","Census Tract 2011, Essex County, Massachusetts","Census Tract 2011, Essex County, Massachusetts","ma","140","00","ACSSF","0001138",,,,,"25","009",,,,"201100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3451,3322,3223,92,0,7,0,0,0,129,55,0,0,0,0,74,0,1593,59,113,73,15,83,15,78,84,66,121,207,131,99,112,235,102,65083,65083,64679,67292,,,,,,89306,64263,1593,20,1573,526,84,10,36,64,120,128,71,13,543,9,272,130,115,17,1144
"25009202101","14000US25009202101","Census Tract 2021.01, Essex County, Massachusetts","Census Tract 2021.01, Essex County, Massachusetts","ma","140","00","ACSSF","0001139",,,,,"25","009",,,,"202101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,1948,1819,3,0,8,0,6,112,23,16,0,0,0,0,7,0,750,5,9,24,0,15,5,18,4,24,42,75,121,105,64,88,151,107353,107353,107206,,,,,,,,107426,750,16,734,166,0,16,0,30,59,33,28,0,179,45,70,21,30,13,1157
"25009202102","14000US25009202102","Census Tract 2021.02, Essex County, Massachusetts","Census Tract 2021.02, Essex County, Massachusetts","ma","140","00","ACSSF","0001140",,,,,"25","009",,,,"202102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5798,5385,5250,90,0,25,0,0,20,413,413,0,0,0,0,0,0,2448,89,134,124,117,153,128,57,41,55,144,227,378,236,257,170,138,71447,71447,71206,96375,,,,,,,70702,2448,23,2425,866,23,113,93,32,119,159,279,48,881,34,343,288,192,24,1333
"25009202200","14000US25009202200","Census Tract 2022, Essex County, Massachusetts","Census Tract 2022, Essex County, Massachusetts","ma","140","00","ACSSF","0001141",,,,,"25","009",,,,"202200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6143,5942,5675,1,0,165,0,0,101,201,116,64,21,0,0,0,0,2292,70,60,10,74,0,55,22,0,32,114,222,231,198,258,199,747,128095,128095,126722,,,250001,,,,99196,127052,2292,88,2204,231,0,0,0,97,15,71,48,0,247,0,50,96,85,16,1262
"25009203100","14000US25009203100","Census Tract 2031, Essex County, Massachusetts","Census Tract 2031, Essex County, Massachusetts","ma","140","00","ACSSF","0001142",,,,,"25","009",,,,"203100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6757,6491,6406,33,0,30,0,0,22,266,223,0,0,0,0,2,41,2329,59,34,41,13,13,59,42,45,41,95,127,233,483,232,296,516,118482,118482,119000,,,,,,,,118750,2329,14,2315,139,0,13,19,0,27,18,11,51,169,0,47,36,56,30,1396
"25009203200","14000US25009203200","Census Tract 2032, Essex County, Massachusetts","Census Tract 2032, Essex County, Massachusetts","ma","140","00","ACSSF","0001143",,,,,"25","009",,,,"203200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4786,4704,4562,36,0,42,0,0,64,82,48,0,0,0,0,34,0,1859,72,18,17,7,45,135,21,70,64,147,91,245,173,125,224,405,99848,99848,101131,,,,,,,,101071,1859,0,1859,293,0,14,28,47,72,17,53,62,303,0,139,107,38,19,1200
"25009203301","14000US25009203301","Census Tract 2033.01, Essex County, Massachusetts","Census Tract 2033.01, Essex County, Massachusetts","ma","140","00","ACSSF","0001144",,,,,"25","009",,,,"203301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4222,4156,4060,28,0,33,0,0,35,66,52,14,0,0,0,0,0,1897,113,111,28,28,51,75,47,56,14,111,280,184,175,132,147,345,81520,81520,81791,,,,,,,,81791,1897,0,1897,584,66,10,32,98,157,57,87,77,591,41,338,133,72,7,1137
"25009203302","14000US25009203302","Census Tract 2033.02, Essex County, Massachusetts","Census Tract 2033.02, Essex County, Massachusetts","ma","140","00","ACSSF","0001145",,,,,"25","009",,,,"203302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4398,4293,4176,30,0,48,0,0,39,105,89,0,0,0,0,16,0,2042,98,32,95,84,67,103,47,85,54,85,167,285,163,110,176,391,84583,84583,84236,,,,,,,107750,83958,2042,71,1971,579,15,65,50,31,100,90,155,73,579,0,339,111,110,19,1329
"25009204101","14000US25009204101","Census Tract 2041.01, Essex County, Massachusetts","Census Tract 2041.01, Essex County, Massachusetts","ma","140","00","ACSSF","0001146",,,,,"25","009",,,,"204101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4993,4430,4022,137,0,144,0,0,127,563,269,44,7,0,0,209,34,1801,153,76,62,72,63,84,76,49,115,158,190,218,220,94,73,98,57443,57443,63068,70156,,132870,,19712,7321,19615,64318,1801,108,1693,877,51,80,37,160,317,154,62,16,892,24,441,153,225,49,1087
"25009204102","14000US25009204102","Census Tract 2041.02, Essex County, Massachusetts","Census Tract 2041.02, Essex County, Massachusetts","ma","140","00","ACSSF","0001147",,,,,"25","009",,,,"204102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5048,4579,3939,388,0,142,0,19,91,469,108,18,0,0,0,343,0,1934,35,86,97,137,55,54,78,37,42,150,231,291,192,255,104,90,71698,71698,80775,50938,,80417,,39493,,43750,81092,1934,59,1875,613,26,19,63,128,183,39,88,67,621,9,378,142,84,8,1096
