Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T080_001,SE_T080_002,SE_T080_003,SE_T102_001,SE_T102_002,SE_T102_003,SE_T102_004,SE_T102_005,SE_T102_006,SE_T102_007,SE_T102_008,SE_T102_009,SE_T103_001,SE_T103_002,SE_T103_003,SE_T103_004,SE_T103_005,SE_T103_006,SE_T104_001
"25009000000","14000US25009000000","Census Tract 0, Essex County, Massachusetts","Census Tract 0, Essex County, Massachusetts","ma","140","00","ACSSF","0003589",,,,,"25","009",,,,"000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"25009201100","14000US25009201100","Census Tract 2011, Essex County, Massachusetts","Census Tract 2011, Essex County, Massachusetts","ma","140","00","ACSSF","0003590",,,,,"25","009",,,,"201100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3602,3511,11,0,35,0,34,11,3602,3547,3490,11,0,35,0,0,11,55,21,0,0,0,0,34,0,1514,59,50,50,58,64,50,32,57,56,72,119,170,162,137,146,232,90406,90406,89813,,,,,,,,89813,1514,0,1514,397,8,1,15,40,82,100,114,37,425,0,255,71,71,28,1389
"25009202100","14000US25009202100","Census Tract 2021, Essex County, Massachusetts","Census Tract 2021, Essex County, Massachusetts","ma","140","00","ACSSF","0003591",,,,,"25","009",,,,"202100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8302,7817,117,0,131,0,189,48,8302,8252,7791,117,0,131,0,165,48,50,26,0,0,0,0,24,0,3259,238,98,100,122,111,97,95,47,41,109,265,464,384,289,349,451,93383,93383,94000,,,187408,,85831,,2762,92577,3259,57,3202,686,86,43,26,81,106,70,159,115,700,14,387,126,144,29,1252
"25009202200","14000US25009202200","Census Tract 2022, Essex County, Massachusetts","Census Tract 2022, Essex County, Massachusetts","ma","140","00","ACSSF","0003592",,,,,"25","009",,,,"202200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5695,5471,21,50,92,0,45,16,5695,5525,5366,21,0,92,0,30,16,170,105,0,50,0,0,15,0,2220,100,21,31,39,78,86,21,38,82,92,108,289,329,213,161,533,106288,106288,107458,,,96510,,,,124876,105225,2220,0,2220,325,0,0,18,29,74,99,72,32,339,0,118,90,103,28,1351
"25009203100","14000US25009203100","Census Tract 2031, Essex County, Massachusetts","Census Tract 2031, Essex County, Massachusetts","ma","140","00","ACSSF","0003593",,,,,"25","009",,,,"203100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7029,6785,116,0,30,0,40,58,7029,6882,6702,116,0,30,0,0,34,147,83,0,0,0,0,40,24,2371,78,64,23,16,25,35,49,35,57,62,99,280,320,267,378,585,127212,127212,128226,,,82352,,,,,128226,2371,16,2355,146,18,2,0,5,14,22,19,67,209,0,53,42,31,83,1606
"25009203200","14000US25009203200","Census Tract 2032, Essex County, Massachusetts","Census Tract 2032, Essex County, Massachusetts","ma","140","00","ACSSF","0003594",,,,,"25","009",,,,"203200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4407,4234,0,0,97,20,56,0,4407,4347,4174,0,0,97,20,56,0,60,60,0,0,0,0,0,0,1779,111,34,22,14,42,58,29,49,20,83,106,146,172,161,238,494,117951,117951,121179,,,70837,,,,136793,121179,1779,8,1771,334,69,24,14,33,53,42,51,48,346,14,126,101,48,57,1120
"25009203300","14000US25009203300","Census Tract 2033, Essex County, Massachusetts","Census Tract 2033, Essex County, Massachusetts","ma","140","00","ACSSF","0003595",,,,,"25","009",,,,"203300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8434,8264,0,42,45,0,28,55,8434,8292,8150,0,42,45,0,0,55,142,114,0,0,0,0,28,0,3944,113,123,167,125,126,146,115,171,83,346,352,490,358,234,330,664,81485,81485,82030,,,,,,185943,78332,82562,3944,56,3888,1183,79,78,46,174,277,167,177,185,1208,28,668,318,169,25,1182
"25009204101","14000US25009204101","Census Tract 2041.01, Essex County, Massachusetts","Census Tract 2041.01, Essex County, Massachusetts","ma","140","00","ACSSF","0003596",,,,,"25","009",,,,"204101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5122,4566,73,0,47,0,377,59,5122,4242,4132,17,0,47,0,11,35,880,434,56,0,0,0,366,24,1827,89,114,112,44,29,80,102,80,71,127,241,272,163,126,117,60,62236,62236,64389,15890,,133711,,57782,16063,35548,67074,1827,32,1795,955,17,75,68,156,207,154,192,86,955,0,454,236,265,0,1179
"25009204102","14000US25009204102","Census Tract 2041.02, Essex County, Massachusetts","Census Tract 2041.02, Essex County, Massachusetts","ma","140","00","ACSSF","0003597",,,,,"25","009",,,,"204102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4486,4102,142,0,94,0,130,18,4486,4160,3956,110,0,94,0,0,0,326,146,32,0,0,0,130,18,1862,100,48,47,50,74,106,106,89,84,104,152,214,246,207,145,92,72680,72680,80319,30222,,257235,,,,28556,80832,1862,68,1794,422,50,27,58,66,67,47,60,47,432,12,272,85,44,19,975
"25009204200","14000US25009204200","Census Tract 2042, Essex County, Massachusetts","Census Tract 2042, Essex County, Massachusetts","ma","140","00","ACSSF","0003598",,,,,"25","009",,,,"204200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5294,4410,343,0,91,0,349,101,5294,4362,3745,318,0,91,0,127,81,932,665,25,0,0,0,222,20,2401,216,155,138,154,154,132,106,41,77,223,270,207,183,141,96,108,51677,51677,54908,23434,,139095,,34513,44282,21593,58420,2401,42,2359,1480,126,274,135,161,253,243,220,68,1490,56,634,468,302,30,1020
