Var1,GEOid2,areaLand,Perc_Water,Pop_2009,PopDen_2009,Pop_Black_2009,Pop_Hispanic_2009,Pop_WhiteNH_2009,Pop_NonWhite_2009,Perc_NonWhite_2009,Perc_Black_2009,Perc_Hispanic_2009,Pop_2014,PopDen_2014,Pop_Black_2014,Pop_Hispanic_2014,Pop_WhiteNH_2014,Pop_NonWhite_2014,Perc_NonWhite_2014,Perc_Black_2014,Perc_Hispanic_2014,PopDen_Change,IncMedian_2009,MedianRent_2009,IncMedian_2014,MedianRent_2014,Perc_RentBurdened_2009,Perc_RentBurdened_2014,Perc_RentBurdened_Change,HousingUnits_2009,OwnedUnits_2009,RentedUnits_2009,Perc_UnitsOwned_2009,HousingUnits_2014,OwnedUnits_2014,RentedUnits_2014,Perc_UnitsOwned_2014,NewArrivalOwner_2014,DisplacedOwner_2014,NewArrivalRenter_2014,DisplacedRenter_2014,Displaced_2014,NewArrival_2014,Displaced_Density_2014,NewArrival_Density_2014,Perc_OwnerDisplaced,Perc_RenterDisplaced,Perc_OwnerNewArrival,Perc_RenterNewArrival,Perc_Displaced,Perc_NewArrival,IncMedianAbsChange,RentMedianAbsChange,IncMedianPercChange,RentMedianPercChange,Pop_NonWhite_Change,Perc_NonWhite_Change
1400000US25017300100,25017300100,47.4056463213852,0.0160602793760214,3055.941,64.4636501585135,0,25.974,2945.052,110.889,0.0362863680941485,0,0.0084995096436744,3147,66.3844972952167,17,45,3044,103,0.032729583730537,0.00540197013028281,0.0142993326978074,1.92084713670326,86790.375,796.8183,83917,1279,0.666666666666667,0.445378151260504,-0.221288515406163,979.02,946.053,32.967,0.966326530612245,1073,954,119,0.889095992544268,40,32.0530000000001,62,-24.033,8.02000000000012,102,0.169178159614759,2.1516424290156,0.0338807656653487,0,0.0419287211740042,0.521008403361345,0.0081918653347226,0.0950605778191985,-2873.375,482.1817,-0.0331070697643604,0.605133817835258,-7.88900000000012,-0.00355678436361143
1400000US25017301101,25017301101,34.3817812525806,0.00133069982155653,4191.804,121.919337721497,26.973,51.948,3833.163,358.641,0.0855576739752144,0.00643469971401335,0.0123927550047664,4041,117.533177537063,0,31,3787,254,0.0628557287800049,0,0.00767136847315021,-4.38616018443435,74598.9448,926.8661,74006,903,0.385245901639344,0.501347708894879,0.116101807255534,1451.547,1207.791,243.756,0.832071576049553,1544,1173,371,0.759715025906736,62,96.7910000000002,213,85.756,182.547,275,5.30941077947493,7.99842212885231,0.0801388650851018,0.351810827220663,0.0528559249786871,0.574123989218329,0.125760309518052,0.178108808290155,-592.944800000012,-23.8661000000001,-0.00794843414460752,-0.0257492425281279,-104.641,-0.0227019451952094
1400000US25017301102,25017301102,46.8284635825496,0.0152378018712831,5323,113.670182465341,9,39,5238,85,0.0159684388502724,0.00169077587826414,0.00732669547247793,5142,109.805011879914,7,63,4868,274,0.0532866588875924,0.00136133800077791,0.0122520420070012,-3.86517058542678,90441.6323,920.2535,96290,996,0.746913580246914,0.38659793814433,-0.360315642102584,1813,1651,162,0.910645339216768,1744,1550,194,0.888761467889908,94,195,94,62,257,188,5.4881151406336,4.01465232077478,0.118110236220472,0.382716049382716,0.0606451612903226,0.484536082474227,0.141753998896856,0.107798165137615,5848.36769999999,75.7465,0.0646645527205947,0.0823104720601443,189,0.03731822003732
1400000US25017310100,25017310100,1.79918129561594,0.134143724224302,3779.0584,2100.43224060212,406.4428,460.4846,1973.5522,1805.5062,0.477766154659055,0.107551341360589,0.121851676068303,5103,2836.29004616404,375,604,2551,2552,0.500097981579463,0.0734861845972957,0.118361747991378,735.857805561922,30401.670962,605.99034626,34431,917,0.479664931149057,0.632553606237817,0.15288867508876,2051.8716,425.4596,1626.412,0.207351961009646,2658,606,2052,0.227990970654628,51,-129.5404,1249,823.412,693.8716,1300,385.659634018404,722.550864200127,0,0.50627516275089,0.0841584158415842,0.608674463937622,0.33816521462649,0.489089541008277,4029.329038,311.00965374,0.132536433376849,0.513225426212584,746.4938,0.0223318269204084
1400000US25017310200,25017310200,3.6862244351878,0.074867367258245,5925.0337,1607.34480609511,155.1108,104.4015,4504.179,1420.8547,0.23980533646585,0.0261788890753482,0.0176204061084075,6949,1885.12667152508,496,244,4551,2398,0.345085623830767,0.0713771765721687,0.0351129658943733,277.781865429968,69697.9061,1009.5236,57953,961,0.365384615384615,0.394601542416452,0.0292169270318371,2049.2523,1428.8091,620.4432,0.697234352256186,2181,1403,778,0.643282897753324,88,113.8091,426,268.4432,382.2523,514,103.697511293971,139.438064349387,0.07965311811074,0.432663618523017,0.0627227369921597,0.547557840616967,0.186532570928431,0.235671710224668,-11744.9061,-48.5236000000001,-0.168511606118394,-0.0480658401646084,977.145299999999,0.105280287364917
1400000US25017310300,25017310300,0.415732160369696,0.00696768671878675,6408.1264,15414.0742787411,882.9548,476.736,3603.3296,2804.7968,0.437693738375697,0.137786732796032,0.0743955362678239,5864,14105.2354352027,683,403,3082,2782,0.474420190995907,0.116473396998636,0.0687244201909959,-1308.83884353842,56198.2832,981.9711,45648,1217,0.449519230769231,0.649122807017544,0.199603576248313,2387.6528,1148.1392,1239.5136,0.480865224625624,2188,991,1197,0.452925045703839,135,292.1392,433,475.5136,767.6528,568,1846.50809626408,1366.26427817106,0.254445802390512,0.383629191321499,0.136226034308779,0.361737677527151,0.3215093919853,0.259597806215722,-10550.2832,235.0289,-0.187733193956359,0.239344009207603,-22.7968000000001,0.0367264526202097
1400000US25017310400,25017310400,0.620339908241554,0.211701534190682,3084,4971.46799525128,167,762,1694,1390,0.450713359273671,0.0541504539559014,0.247081712062257,3385,5456.68585081893,144,614,1712,1673,0.49423929098966,0.0425406203840473,0.181388478581979,485.217855567651,48615.8352,981.9711,34015,982,0.754385964912281,0.702702702702703,-0.051683262209578,1026,627,399,0.611111111111111,1132,429,703,0.378975265017668,7,205,393,89,294,400,473.933719391659,644.80778148525,0.32695374800638,0.223057644110276,0.0163170163170163,0.559032716927454,0.286549707602339,0.353356890459364,-14600.8352,0.0288999999999078,-0.300330851870256,2.9430601368928e-05,283,0.0435259317159897
1400000US25017310500,25017310500,0.657797795354333,0.118491053383736,3439,5228.05035876949,384,0,2613,826,0.240186100610643,0.111660366385577,0,3354,5098.8313182067,276,164,2149,1205,0.359272510435301,0.0822898032200358,0.048896839594514,-129.219040562782,57097.5968,1173.7365,51651,1081,0.470338983050847,0.575039494470774,0.104700511419927,1073,601,472,0.560111835973905,1161,528,633,0.454780361757106,26,99,378,217,316,404,480.390786092224,614.170498674868,0.164725457570715,0.459745762711864,0.0492424242424242,0.597156398104265,0.294501397949674,0.347975882859604,-5446.59680000001,-92.7365,-0.0953909990131144,-0.0790096414314456,379,0.119086409824658
1400000US25017310601,25017310601,9.72506402910257,0.0647505588714778,5893.975,606.060277069857,375.851,98.9505,4016.1115,1877.8635,0.318607306613957,0.0637686790324017,0.0167884152884938,6304,648.221953206177,472,373,3736,2568,0.407360406091371,0.0748730964467005,0.0591687817258883,42.1616761363202,71750.20497952,911.96747136,66221,627,0.502451935512847,0.416666666666667,-0.0857852688461798,2091.092,1350.7585,740.3335,0.64595842746278,2056,1444,612,0.702334630350194,98,4.75850000000014,192,320.3335,325.092,290,33.4282631998259,29.8198550808679,0.0035228355031637,0.432688106103533,0.0678670360110803,0.313725490196078,0.15546518278488,0.141050583657588,-5529.20497952001,-284.96747136,-0.0770618701521235,-0.312475477809569,690.1365,0.0887530994774132
1400000US25017310602,25017310602,2.61954396580486,0.107092742378072,5697.013,2174.81098785436,103.8544,209.706,4313.952,1383.061,0.242769500438212,0.0182296231375986,0.0368098159509202,5504,2101.12907889633,102,209,3741,1763,0.3203125,0.018531976744186,0.0379723837209302,-73.6819089580335,62134.1938,1050.3013,50083,1169,0.355163727959698,0.683274021352313,0.328110293392615,2294.7828,1501.8944,792.8884,0.654482158398608,2142,1299,843,0.606442577030812,106,308.8944,484,433.8884,742.7828,590,283.5542406221,225.230042977622,0.205669852687379,0.547225057145495,0.0816012317167052,0.574139976275208,0.32368326971947,0.275443510737628,-12051.1938,118.6987,-0.193954295742387,0.113013951329966,379.939,0.077542999561788
1400000US25017310700,25017310700,0.683937041424891,0.225450156975575,3940,5760.76416594068,100,407,1644,2296,0.582741116751269,0.0253807106598985,0.103299492385787,4812,7035.73532144836,317,273,1950,2862,0.594763092269327,0.0658769742310889,0.0567331670822943,1274.97115550768,47068.4868,873.9653,37344,981,0.438764643237487,0.589077887197851,0.150313243960365,1407,468,939,0.332622601279318,1426,309,1117,0.216690042075736,26,185,403,225,410,429,599.470382750172,627.250717560546,0.395299145299145,0.23961661341853,0.0841423948220065,0.360787824529991,0.291400142146411,0.300841514726508,-9724.48680000001,107.0347,-0.20660291972675,0.122470194182767,566,0.0120219755180576
1400000US25017311100,25017311100,0.164198095083902,0.0361760619720736,2788.9416,16985.2250635119,53.5572,300.5154,913.4478,1875.4938,0.672475106685633,0.019203413940256,0.107752489331437,2501,15231.6017961234,124,277,673,1828,0.730907636945222,0.0495801679328269,0.110755697720912,-1753.6232673885,32487.7038,1140.6735,42841,1102,0.763636363636364,0.539007092198582,-0.224629271437782,831.1284,176.5404,654.588,0.212410501193317,795,90,705,0.113207547169811,14,100.5404,250,199.588,300.1284,264,1827.84337325375,1607.81402406101,0.569503637694261,0.304906292202118,0.155555555555556,0.354609929078014,0.361109546972525,0.332075471698113,10353.2962,-38.6735000000001,0.318683532198419,-0.0339040926259794,-47.4938000000002,0.0584325302595888
1400000US25017311200,25017311200,0.173200111659014,0.0251712965075723,2601,15017.3113347681,147,81,614,1987,0.763936947327951,0.0565167243367935,0.0311418685121107,3427,19786.3613780277,491,245,769,2658,0.77560548584768,0.143274000583601,0.0714911000875401,4769.05004325968,45764.7025,790.2057,43787,894,0.445182724252492,0.536451169188446,0.091268444935954,947,345,602,0.364308342133052,1039,312,727,0.300288739172281,20,53,431,306,359,451,2072.74693163465,2603.92441829312,0.153623188405797,0.508305647840532,0.0641025641025641,0.592847317744154,0.37909186906019,0.434071222329163,-1977.70250000001,103.7943,-0.0432145822427231,0.131350988736224,671,0.0116685385197294
1400000US25017311300,25017311300,0.249822465908678,0,3498,14001.9432891143,145,104,1972,1526,0.436249285305889,0.0414522584333905,0.0297312750142939,3788,15162.7676326944,274,266,1514,2274,0.600316789862724,0.0723336853220697,0.0702217529039071,1160.82434358009,51951.8919,1067.9349,49399,952,0.543175487465181,0.428391959798995,-0.114783527666186,1289,571,718,0.442979053529868,1303,507,796,0.389102072141213,37,101,278,200,301,315,1204.85561178485,1260.89540768182,0.176882661996497,0.278551532033426,0.0729783037475345,0.349246231155779,0.233514352211016,0.241749808135073,-2552.8919,-115.9349,-0.0491395367258993,-0.108559894428022,748,0.164067504556835
1400000US25017311400,25017311400,2.48041445018363,0.110720010631141,6505.3041,2622.668199469,678.5727,353.7948,2850.9363,3654.3678,0.561752032468398,0.104310680879623,0.0543855897528295,6314,2545.54233851224,1007,160,2595,3719,0.589008552423187,0.159486854608806,0.0253405131453912,-77.1258609567603,49489.6153472,1122.01362448,47888,1044,0.615723038938093,0.56094674556213,-0.054776293375963,2479.3467,890.0547,1589.292,0.358987591368323,2366,676,1690,0.285714285714286,53,267.0547,940,839.292,1106.3467,993,446.033000621365,400.33632279738,0.300043019827883,0.528091754064074,0.0784023668639053,0.556213017751479,0.446225088246029,0.419695688926458,-1601.6153472,-78.0136244800001,-0.0323626549926421,-0.0695300153027604,64.6321999999991,0.0272565199547889
1400000US25017311500,25017311500,0.215588161741881,0,2917,13530.4275356847,12,247,1754,1163,0.398697291738087,0.00411381556393555,0.0846760370243401,3384,15696.5947140065,153,14,1118,2266,0.669621749408983,0.0452127659574468,0.0041371158392435,2166.16717832182,64404.5198,1064.6286,61111,1114,0.511400651465798,0.490022172949002,-0.0213784785167958,982,675,307,0.687372708757637,1000,549,451,0.549,46,172,216,72,244,262,1131.78756212104,1215.28008719554,0.254814814814815,0.234527687296417,0.0837887067395264,0.478935698447894,0.24847250509165,0.262,-3293.5198,49.3714,-0.051138022769638,0.0463742942844105,1103,0.270924457670896
1400000US25017311600,25017311600,5.40672660013136,0.010712597255909,5124,947.708360151873,58,47,3139,1985,0.387392661982826,0.0113192818110851,0.00917252146760343,5278,976.191398298514,274,194,3026,2252,0.426676771504358,0.0519136036377416,0.0367563471011747,28.483038146641,67002.1695,1051.4034,71809,1030,0.306086956521739,0.302158273381295,-0.00392868314044414,1882,1307,575,0.694473963868225,1888,1332,556,0.705508474576271,121,96,185,204,300,306,55.4864379480019,56.596166706962,0.0734506503442999,0.354782608695652,0.0908408408408408,0.33273381294964,0.159404888416578,0.162076271186441,4806.8305,-21.4034000000001,0.0717414157760966,-0.02035698191579,267,0.0392841095215318
1400000US25017311700,25017311700,0.289509331862895,0.00240809332226409,4858,16780.1154067829,568,176,1928,2930,0.603128859613009,0.116920543433512,0.0362289007822149,4906,16945.9131711974,125,254,1682,3224,0.657154504688137,0.0254790052996331,0.0517733387688545,165.797764414488,60121.7592,1114.2231,53004,1116,0.590504451038576,0.497162315550511,-0.0933421354880649,1504,830,674,0.55186170212766,1535,654,881,0.426058631921824,36,212,441,234,446,477,1540.53756101795,1647.61528386897,0.255421686746988,0.347181008902077,0.055045871559633,0.500567536889898,0.296542553191489,0.310749185667752,-7117.75920000001,1.77689999999984,-0.118389070691065,0.00159474345846881,294,0.0540256450751275
1400000US25017311800,25017311800,0.229258948826375,0.00728102586394262,3471,15140.0851210772,193,57,753,2718,0.783059636992221,0.055603572457505,0.0164217804667243,3282,14315.6898206209,80,242,1108,2174,0.662400975015235,0.024375380865326,0.0737355271176112,-824.395300456234,49296.933,1155.0008,37377,947,0.584973166368515,0.69431643625192,0.109343269883405,1022,463,559,0.453033268101761,1029,378,651,0.36734693877551,30,115,363,271,386,393,1683.68564008522,1714.21879936137,0.248380129589633,0.48479427549195,0.0793650793650794,0.557603686635945,0.377690802348337,0.381924198250729,-11919.933,-208.0008,-0.241798673357631,-0.180087147991586,-544,-0.120658661976987
1400000US25017311900,25017311900,0.350180954448351,0.0251787967574749,2197,6273.89917153259,211,237,1056,1141,0.519344560764679,0.0960400546199363,0.107874374146563,2286,6528.05348480815,261,323,1183,1103,0.482502187226597,0.114173228346457,0.141294838145232,254.154313275558,24911.8684,587.4193,25255,589,0.512791991101224,0.454241071428571,-0.0585509196726521,1097,198,899,0.18049225159526,1090,194,896,0.177981651376147,0,4,402,405,409,402,1167.96757449105,1147.97790940196,0.0202020202020202,0.450500556173526,0,0.448660714285714,0.372835004557885,0.368807339449541,343.131599999997,1.58069999999998,0.0137738203530329,0.00269092282122834,-38,-0.0368423735380824
1400000US25017312000,25017312000,0.270656641949554,0.0384407518058539,3282,12126.0648782146,180,102,2289,993,0.302559414990859,0.0548446069469835,0.0310786106032907,3021,11161.7434482287,185,237,1156,1865,0.617345249917246,0.0612380006620324,0.0784508440913605,-964.321429985992,69809.2182,1040.3824,42426,1012,0.51340206185567,0.618846694796062,0.105444632940392,829,344,485,0.414957780458384,956,245,711,0.256276150627615,24,123,336,110,233,360,860.869322554544,1330.09852411861,0.357558139534884,0.22680412371134,0.0979591836734694,0.472573839662447,0.281061519903498,0.376569037656904,-27383.2182,-28.3824,-0.392257912437129,-0.0272807383131433,872,0.314785834926387
1400000US25017312100,25017312100,0.258797069094262,0.0695403631174406,2452,9474.60498135281,146,72,1542,910,0.371125611745514,0.0595432300163132,0.0293637846655791,2728,10541.0776464643,152,234,1084,1644,0.602639296187683,0.0557184750733138,0.0857771260997067,1066.47266511149,40869.1743,1128.5504,46228,974,0.542314335060449,0.533685601056803,-0.00862873400364583,932,353,579,0.378755364806867,1157,400,757,0.345721694036301,20,-27,284,106,79,304,305.258480231188,1174.66554418077,0,0.18307426597582,0.05,0.375165125495377,0.0847639484978541,0.262748487467589,5358.82569999999,-154.5504,0.131121457474613,-0.136945944106705,734,0.231513684442169
1400000US25017312200,25017312200,3.37149478495963,0.0287595286439086,4257.9282,1262.92000183265,289.536,319.5888,2558.2356,1699.6926,0.399183011117942,0.0679992678129237,0.0750573483132008,4536,1345.39730573966,615,198,2058,2478,0.546296296296296,0.135582010582011,0.0436507936507936,82.4773039070055,68616.21622053,1048.38871566,64500,1114,0.475452395075832,0.475609756097561,0.000157361021728475,1629.8151,1138.2315,491.5836,0.698380754970303,1608,952,656,0.592039800995025,147,333.2315,304,139.5836,472.8151,451,140.239012710103,133.768559278789,0.292762500422805,0.283946820032239,0.154411764705882,0.463414634146341,0.290103521558979,0.28047263681592,-4116.21622053001,65.6112843399999,-0.0599889712265777,0.0625829745779886,778.3074,0.147113285178354
1400000US25017312300,25017312300,3.72989743964176,0.0217432646977871,5293.6052,1419.23612798008,262.8384,364.3896,3676.7508,1616.8544,0.305435395899944,0.0496520594320105,0.0688358096671055,4862,1303.52109640499,7,258,3186,1676,0.344714109419992,0.00143973673385438,0.0530645824763472,-115.715031575092,65772.2259,1155.0008,57708,1143,0.573099415204678,0.454022988505747,-0.119076426698931,2033.0152,1352.0248,680.9904,0.665034280117532,1967,1097,870,0.557702084392476,76,331.0248,414,224.9904,556.0152,490,149.069836100749,131.370904409388,0.244836337321623,0.330387036293023,0.0692798541476755,0.475862068965517,0.273492888789026,0.249110320284698,-8064.2259,-12.0008,-0.122608377467122,-0.0103902958335614,59.1456000000003,0.0392787135200482
1400000US25017312400,25017312400,0.458246852590099,0.111512366681714,2413,5265.72083662171,129,537,1092,1321,0.547451305428927,0.0534604227103191,0.222544550352259,2613,5702.16682390904,260,499,875,1738,0.66513585916571,0.0995024875621891,0.190968235744355,436.445987287336,32823.8443,951.1123,37525,952,0.558343789209536,0.629183400267738,0.0708396110582019,940,143,797,0.152127659574468,922,175,747,0.189804772234273,0,-32,251,301,269,251,587.019852901467,547.739714045606,0,0.377666248431619,0,0.336010709504685,0.286170212765957,0.272234273318872,4701.1557,0.887699999999882,0.143223799657129,0.000933328272591871,417,0.117684553736783
1400000US25017312501,25017312501,2.22026099746388,0.0933486144148908,4561.1748,2054.34172163095,99.96,197.9208,3159.7356,1401.4392,0.307253999561692,0.0219154065307911,0.0433925049309665,4094,1843.92736019613,122,145,3362,732,0.178798241328774,0.029799706888129,0.0354176844162189,-210.414361434821,87014.1013,1073.4454,69583,1189,0.339578454332553,0.710900473933649,0.371322019601097,1699.32,1272.4908,426.8292,0.748823529411765,1624,1202,422,0.740147783251232,42,112.4908,204,208.8292,321.32,246,144.721724322965,110.797784711345,0.0884020536730009,0.489257061138273,0.0349417637271215,0.483412322274882,0.189087399665749,0.151477832512315,-17431.1013,115.5546,-0.200325016745303,0.107648325662395,-669.4392,-0.128455758232918
1400000US25017312502,25017312502,0.77689005375137,0.00143770071110851,3884.057,4999.49379097473,73.963,99.95,3583.2075,300.8495,0.0774575398867731,0.0190427174472465,0.0257334019557385,3764,4844.958410556,135,69,3137,627,0.166578108395324,0.0358660998937301,0.0183315621679065,-154.535380418736,76562.887,953.3165,71146,884,0.599447513812155,0.585164835164835,-0.0142826786473195,1535.232,1173.413,361.819,0.764322916666667,1559,1195,364,0.76651699807569,205,183.413,166,163.819,347.232,371,446.951274924065,477.545050562241,0.156307284817877,0.45276505656143,0.171548117154812,0.456043956043956,0.226175587793897,0.237973059653624,-5416.887,-69.3165,-0.0707508195191229,-0.0727108992658787,326.1505,0.089120568508551
1400000US25017313101,25017313101,66.6979720985561,0.0584877263048788,5337.2864,80.0217192827598,19.072,35.0639,4895.8959,441.3905,0.0826994219384591,0.00357335143191866,0.00656961185369404,5845,87.6338487677429,30,178,5116,729,0.124721984602224,0.00513259195893926,0.030453378956373,7.61212948498311,118115.57148669,832.58552277,109615,1122,0.384997645915283,0.548223350253807,0.163225704338524,1805.123,1640.5155,164.6075,0.90881092313377,2006,1809,197,0.901794616151545,163,-5.48450000000003,100,67.6075,62.123,263,0.931407628228997,3.94314837055883,0,0.410719438664702,0.0901050304035379,0.50761421319797,0.0344148293495789,0.13110667996012,-8500.57148669002,289.41447723,-0.0719682543097031,0.347609307770717,287.6095,0.042022562663765
1400000US25017313102,25017313102,22.6343430602028,0.0987622275550203,6241.2616,275.742997417663,12.1388,19.9675,5907.692,333.569600000001,0.0534458610098959,0.00194492728841874,0.0031992730444114,6022,266.055877300379,32,44,5518,504,0.0836931252075722,0.0053138492195284,0.00730654267685154,-9.68712011728411,96907.1868117,1310.1974199,85905,1016,0.706446305708131,0.463414634146341,-0.24303167156179,2040.6477,1758.438,282.2097,0.861705820166803,2108,1739,369,0.824952561669829,93,112.438,140,53.2097,165.6477,233,7.3184231395367,10.2940915660891,0.0639419757762287,0.188546672917338,0.0534790109258194,0.37940379403794,0.0811740801707223,0.110531309297913,-11002.1868117,-294.1974199,-0.113533239109276,-0.224544343800078,170.430399999999,0.0302472641976763
1400000US25017314101,25017314101,6.25300805096239,0.064497327644539,5962.7634,953.583195704071,26.0102,0.082,5427.1965,535.566899999999,0.0898185730461817,0.00436210499313121,1.37520130347617e-05,5806,928.513117635665,92,71,5066,740,0.127454357561144,0.01584567688598,0.0122287289011368,-25.070078068406,77447.8248076,1243.4377124,74568,1162,0.239962441698576,0.50328227571116,0.263319834012584,2096.2603,1626.8035,469.4568,0.776050331154008,2127,1670,457,0.78514339445228,94,50.8035,283,295.4568,346.2603,377,55.3749966700759,60.2909826642518,0.0312290328856558,0.629358867525191,0.0562874251497006,0.61925601750547,0.165180011280088,0.177244945933239,-2879.8248076,-81.4377124000002,-0.03718406313869,-0.0654940023033519,204.433100000001,0.0376357845149619
