GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",1073,64,954,79,119,49
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",1544,85,1173,96,371,91
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",1744,74,1550,107,194,79
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",2658,171,606,122,2052,175
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",2181,135,1403,206,778,207
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",2188,184,991,148,1197,199
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",1132,92,429,93,703,118
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",1161,87,528,93,633,115
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",2056,98,1444,120,612,143
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",2142,147,1299,181,843,183
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",1426,98,309,87,1117,131
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",795,51,90,39,705,58
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",1039,80,312,74,727,103
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",1303,94,507,115,796,115
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",2366,123,676,171,1690,198
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",1000,76,549,95,451,107
