GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Moved in 2010 or later,Margin of Error; Owner occupied: - Moved in 2010 or later,Estimate; Owner occupied: - Moved in 2000 to 2009,Margin of Error; Owner occupied: - Moved in 2000 to 2009,Estimate; Owner occupied: - Moved in 1990 to 1999,Margin of Error; Owner occupied: - Moved in 1990 to 1999,Estimate; Owner occupied: - Moved in 1980 to 1989,Margin of Error; Owner occupied: - Moved in 1980 to 1989,Estimate; Owner occupied: - Moved in 1970 to 1979,Margin of Error; Owner occupied: - Moved in 1970 to 1979,Estimate; Owner occupied: - Moved in 1969 or earlier,Margin of Error; Owner occupied: - Moved in 1969 or earlier,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Moved in 2010 or later,Margin of Error; Renter occupied: - Moved in 2010 or later,Estimate; Renter occupied: - Moved in 2000 to 2009,Margin of Error; Renter occupied: - Moved in 2000 to 2009,Estimate; Renter occupied: - Moved in 1990 to 1999,Margin of Error; Renter occupied: - Moved in 1990 to 1999,Estimate; Renter occupied: - Moved in 1980 to 1989,Margin of Error; Renter occupied: - Moved in 1980 to 1989,Estimate; Renter occupied: - Moved in 1970 to 1979,Margin of Error; Renter occupied: - Moved in 1970 to 1979,Estimate; Renter occupied: - Moved in 1969 or earlier,Margin of Error; Renter occupied: - Moved in 1969 or earlier
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",1073,64,954,79,40,26,351,71,258,65,139,50,72,32,94,38,119,49,62,38,25,27,11,14,0,12,14,21,7,9
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",1544,85,1173,96,62,47,557,84,246,70,152,58,102,43,54,39,371,91,213,107,83,62,65,70,0,12,10,15,0,12
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",1744,74,1550,107,94,59,516,114,424,91,256,60,234,69,26,27,194,79,94,47,81,59,8,11,0,17,0,17,11,17
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",2658,171,606,122,51,42,478,121,48,46,29,27,0,12,0,12,2052,175,1249,185,744,146,48,39,0,12,0,12,11,18
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",2181,135,1403,206,88,56,785,202,127,72,140,88,135,83,128,65,778,207,426,177,193,117,125,120,19,27,15,23,0,17
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",2188,184,991,148,135,91,255,98,231,99,78,51,64,58,228,94,1197,199,433,151,684,207,41,38,25,23,14,22,0,17
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",1132,92,429,93,7,11,240,82,92,55,17,17,33,27,40,25,703,118,393,117,269,105,8,13,33,30,0,12,0,12
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",1161,87,528,93,26,23,173,60,116,55,63,57,52,39,98,44,633,115,378,121,182,77,44,33,10,16,10,16,9,15
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",2056,98,1444,120,98,78,716,166,301,134,142,64,123,68,64,40,612,143,192,113,370,148,40,35,10,17,0,17,0,17
