GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD02,Estimate; Median value -- - Total:
HD02_VD02,Margin of Error; Median value -- - Total:
HD01_VD03,Estimate; Median value -- - Total: - Moved in 2010 or later
HD02_VD03,Margin of Error; Median value -- - Total: - Moved in 2010 or later
HD01_VD04,Estimate; Median value -- - Total: - Moved in 2000 to 2009
HD02_VD04,Margin of Error; Median value -- - Total: - Moved in 2000 to 2009
HD01_VD05,Estimate; Median value -- - Total: - Moved in 1990 to 1999
HD02_VD05,Margin of Error; Median value -- - Total: - Moved in 1990 to 1999
HD01_VD06,Estimate; Median value -- - Total: - Moved in 1980 to 1989
HD02_VD06,Margin of Error; Median value -- - Total: - Moved in 1980 to 1989
HD01_VD07,Estimate; Median value -- - Total: - Moved in 1970 to 1979
HD02_VD07,Margin of Error; Median value -- - Total: - Moved in 1970 to 1979
HD01_VD08,Estimate; Median value -- - Total: - Moved in 1969 or earlier
HD02_VD08,Margin of Error; Median value -- - Total: - Moved in 1969 or earlier
