GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median value -- - Total:,Margin of Error; Median value -- - Total:,Estimate; Median value -- - Total: - Moved in 2010 or later,Margin of Error; Median value -- - Total: - Moved in 2010 or later,Estimate; Median value -- - Total: - Moved in 2000 to 2009,Margin of Error; Median value -- - Total: - Moved in 2000 to 2009,Estimate; Median value -- - Total: - Moved in 1990 to 1999,Margin of Error; Median value -- - Total: - Moved in 1990 to 1999,Estimate; Median value -- - Total: - Moved in 1980 to 1989,Margin of Error; Median value -- - Total: - Moved in 1980 to 1989,Estimate; Median value -- - Total: - Moved in 1970 to 1979,Margin of Error; Median value -- - Total: - Moved in 1970 to 1979,Estimate; Median value -- - Total: - Moved in 1969 or earlier,Margin of Error; Median value -- - Total: - Moved in 1969 or earlier
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",236700,18698,193200,57252,266400,55869,242900,21766,233900,61786,229400,33901,186700,35383
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",255700,13803,231000,91979,253000,19117,281300,42225,257100,17505,264800,36857,206300,88577
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",264600,7837,259700,32548,276800,13108,267900,13516,267700,12481,237800,11793,-,**
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",177600,19326,"10,000-",***,181600,34378,180000,30215,-,**,-,**,-,**
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",228900,15166,213300,17842,224600,34852,244800,75561,224200,30383,229400,14016,267900,20886
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",189700,12121,183300,18851,196300,27038,187200,34261,188200,49657,275000,20196,146900,98760
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",164300,24186,-,**,176600,48115,160900,58797,181300,307112,144600,110277,155900,24029
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",205200,24073,225000,90517,198100,54519,219500,33323,189000,30321,211900,48838,215800,58185
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",223700,19901,117700,175351,204800,43929,223500,57661,278300,63661,236500,20014,217500,46761
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",227000,7078,-,**,223600,15728,216500,18683,247600,35104,318800,46435,198800,47645
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",164400,11015,-,**,159300,21557,156300,285538,-,**,-,**,269400,57254
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",222500,44483,-,**,168800,51290,268100,53892,-,**,-,**,-,**
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",190000,22169,-,**,190400,36528,259600,67164,-,**,-,**,168800,76141
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",261300,36379,350000,65454,236300,62812,272200,57380,251700,34026,247000,158692,275000,67828
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",241700,19112,188300,10502,245000,38271,219900,68338,323300,199509,301100,150833,-,**
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",254400,26287,300000,118588,282900,20517,230000,67658,204500,106516,228600,110870,250000,237385
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",247800,13300,234100,36455,245600,19481,248400,25883,255800,214949,258300,43756,258000,60804
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",214300,31246,260900,186951,180100,20444,228900,79106,236500,52642,218300,38451,-,**
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",247300,23130,331800,211338,223100,12823,260600,34650,295000,77887,-,**,-,**
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",181500,33818,-,**,157900,39045,189600,249874,-,**,-,**,315200,75321
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",177700,44969,118800,55358,232100,83509,78300,89197,234600,50185,146400,38891,205600,74508
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",188900,24832,-,**,201200,49781,219400,168043,193300,55338,158000,32362,267000,79909
