GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Less than 10.0 percent
HD02_VD02,Margin of Error; Less than 10.0 percent
HD01_VD03,Estimate; 10.0 to 14.9 percent
HD02_VD03,Margin of Error; 10.0 to 14.9 percent
HD01_VD04,Estimate; 15.0 to 19.9 percent
HD02_VD04,Margin of Error; 15.0 to 19.9 percent
HD01_VD05,Estimate; 20.0 to 24.9 percent
HD02_VD05,Margin of Error; 20.0 to 24.9 percent
HD01_VD06,Estimate; 25.0 to 29.9 percent
HD02_VD06,Margin of Error; 25.0 to 29.9 percent
HD01_VD07,Estimate; 30.0 to 34.9 percent
HD02_VD07,Margin of Error; 30.0 to 34.9 percent
HD01_VD08,Estimate; 35.0 to 39.9 percent
HD02_VD08,Margin of Error; 35.0 to 39.9 percent
HD01_VD09,Estimate; 40.0 to 49.9 percent
HD02_VD09,Margin of Error; 40.0 to 49.9 percent
HD01_VD10,Estimate; 50.0 percent or more
HD02_VD10,Margin of Error; 50.0 percent or more
HD01_VD11,Estimate; Not computed
HD02_VD11,Margin of Error; Not computed
