GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied (dollars),Margin of Error; Owner occupied (dollars),Estimate; Renter occupied (dollars),Margin of Error; Renter occupied (dollars)
0400000US25,25,Massachusetts,64496,321,83847,324,34832,382
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",78750,11662,80819,8495,4688,23464
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",67688,9518,76629,15276,35678,10891
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",82063,10856,86320,7775,21667,16318
1400000US25017302100,25017302100,"Census Tract 3021, Middlesex County, Massachusetts",72750,4672,76182,9150,46281,13238
1400000US25017302200,25017302200,"Census Tract 3022, Middlesex County, Massachusetts",13690,83753,-,**,13690,83753
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",27578,8755,78989,14835,20531,3035
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",63241,7686,72250,15882,45372,24176
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",50992,15103,63902,7353,30625,12830
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",44112,7057,56012,20364,20101,18921
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",51808,11993,77096,15616,36050,14195
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",65095,12391,89375,12548,31607,6314
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",56378,5284,60820,8652,53000,20299
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",42708,14728,73276,16109,25625,8773
1400000US25017310800,25017310800,"Census Tract 3108, Middlesex County, Massachusetts",32813,16016,90962,21577,21490,17117
1400000US25017311000,25017311000,"Census Tract 3110, Middlesex County, Massachusetts",14105,3338,67813,101879,13750,3283
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",29478,12372,60313,22049,27830,11381
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",41525,3585,48047,16533,39773,8767
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",47139,14606,71705,16601,39051,3293
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",44885,7364,72734,16603,38537,17048
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",58438,12207,65383,8174,37788,24610
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",60795,16359,86948,8990,34542,17079
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",54552,7912,70382,3418,33707,26651
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",44730,10050,58417,16826,25350,23122
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",22604,10454,51447,4540,14861,7098
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",63342,24400,72212,17198,49063,20984
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",37083,7254,49801,19402,33826,8237
1400000US25017312200,25017312200,"Census Tract 3122, Middlesex County, Massachusetts",62241,5654,72526,21463,24786,46536
1400000US25017312300,25017312300,"Census Tract 3123, Middlesex County, Massachusetts",59679,10865,73910,12325,39797,10441
1400000US25017312400,25017312400,"Census Tract 3124, Middlesex County, Massachusetts",29783,10240,61359,27847,23558,12465
1400000US25017312501,25017312501,"Census Tract 3125.01, Middlesex County, Massachusetts",78953,7563,87847,16836,40114,26800
1400000US25017312502,25017312502,"Census Tract 3125.02, Middlesex County, Massachusetts",69470,18192,84853,8882,21771,15752
1400000US25017313101,25017313101,"Census Tract 3131.01, Middlesex County, Massachusetts",107222,8788,113629,8230,38889,28085
1400000US25017313102,25017313102,"Census Tract 3131.02, Middlesex County, Massachusetts",87941,14005,97679,13757,37173,12615
1400000US25017314101,25017314101,"Census Tract 3141.01, Middlesex County, Massachusetts",70202,10618,84185,10490,55701,19012
1400000US25017314102,25017314102,"Census Tract 3141.02, Middlesex County, Massachusetts",60694,4436,62500,6223,54435,11501
1400000US25017314200,25017314200,"Census Tract 3142, Middlesex County, Massachusetts",67580,5114,72422,10398,28597,9580
1400000US25017314301,25017314301,"Census Tract 3143.01, Middlesex County, Massachusetts",78900,11024,89958,8221,43750,19505
1400000US25017314302,25017314302,"Census Tract 3143.02, Middlesex County, Massachusetts",101389,12184,102708,11944,57656,78217
1400000US25017315100,25017315100,"Census Tract 3151, Middlesex County, Massachusetts",103942,13863,106389,14135,40924,28330
1400000US25017315200,25017315200,"Census Tract 3152, Middlesex County, Massachusetts",74623,10377,88388,9473,25899,13527
1400000US25017315401,25017315401,"Census Tract 3154.01, Middlesex County, Massachusetts",63211,8953,73500,10177,17159,7410
1400000US25017315402,25017315402,"Census Tract 3154.02, Middlesex County, Massachusetts",88388,13428,89276,17553,36776,18458
1400000US25017315403,25017315403,"Census Tract 3154.03, Middlesex County, Massachusetts",72284,30004,72917,33506,42656,163277
1400000US25017315500,25017315500,"Census Tract 3155, Middlesex County, Massachusetts",88508,10841,90714,11524,32000,12197
1400000US25017316101,25017316101,"Census Tract 3161.01, Middlesex County, Massachusetts",100087,7421,100669,5295,56786,15049
1400000US25017316102,25017316102,"Census Tract 3161.02, Middlesex County, Massachusetts",85590,10217,91382,14233,22028,14492
1400000US25017316201,25017316201,"Census Tract 3162.01, Middlesex County, Massachusetts",93529,8803,93382,8623,185185,287002
1400000US25017316202,25017316202,"Census Tract 3162.02, Middlesex County, Massachusetts",90979,3076,91265,3387,32625,36734
1400000US25017316300,25017316300,"Census Tract 3163, Middlesex County, Massachusetts",81755,12803,86815,8645,69583,13604
1400000US25017316400,25017316400,"Census Tract 3164, Middlesex County, Massachusetts",91589,5934,91821,5721,87969,42941
