GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
0400000US25,25,Massachusetts,67846,387
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",83917,7096
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",74006,5475
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",96290,9781
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",34431,5194
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",57953,7796
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",45648,15003
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",34015,10750
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",51651,6871
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",66221,12620
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",50083,10531
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",37344,11169
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",42841,18783
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",43787,14013
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",49399,12936
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",47888,8014
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",61111,14608
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",71809,6499
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",53004,6500
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",37377,7171
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",25255,8100
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",42426,6770
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",46228,4029
1400000US25017312200,25017312200,"Census Tract 3122, Middlesex County, Massachusetts",64500,12063
1400000US25017312300,25017312300,"Census Tract 3123, Middlesex County, Massachusetts",57708,5960
1400000US25017312400,25017312400,"Census Tract 3124, Middlesex County, Massachusetts",37525,7794
1400000US25017312501,25017312501,"Census Tract 3125.01, Middlesex County, Massachusetts",69583,18908
1400000US25017312502,25017312502,"Census Tract 3125.02, Middlesex County, Massachusetts",71146,15238
1400000US25017313101,25017313101,"Census Tract 3131.01, Middlesex County, Massachusetts",109615,11753
1400000US25017313102,25017313102,"Census Tract 3131.02, Middlesex County, Massachusetts",85905,10721
1400000US25017314101,25017314101,"Census Tract 3141.01, Middlesex County, Massachusetts",74568,12932
1400000US25017314102,25017314102,"Census Tract 3141.02, Middlesex County, Massachusetts",73022,13831
1400000US25017314200,25017314200,"Census Tract 3142, Middlesex County, Massachusetts",71136,2246
1400000US25017314301,25017314301,"Census Tract 3143.01, Middlesex County, Massachusetts",79387,10020
1400000US25017314302,25017314302,"Census Tract 3143.02, Middlesex County, Massachusetts",127935,14454
1400000US25017315100,25017315100,"Census Tract 3151, Middlesex County, Massachusetts",101389,9165
1400000US25017315200,25017315200,"Census Tract 3152, Middlesex County, Massachusetts",87480,9877
1400000US25017315401,25017315401,"Census Tract 3154.01, Middlesex County, Massachusetts",66711,15125
1400000US25017315402,25017315402,"Census Tract 3154.02, Middlesex County, Massachusetts",108295,11587
1400000US25017315403,25017315403,"Census Tract 3154.03, Middlesex County, Massachusetts",99875,14877
1400000US25017315500,25017315500,"Census Tract 3155, Middlesex County, Massachusetts",80638,5656
1400000US25017316101,25017316101,"Census Tract 3161.01, Middlesex County, Massachusetts",93798,11032
1400000US25017316102,25017316102,"Census Tract 3161.02, Middlesex County, Massachusetts",96150,7223
1400000US25017316201,25017316201,"Census Tract 3162.01, Middlesex County, Massachusetts",101587,8801
1400000US25017316202,25017316202,"Census Tract 3162.02, Middlesex County, Massachusetts",112426,11428
1400000US25017316300,25017316300,"Census Tract 3163, Middlesex County, Massachusetts",74330,10566
1400000US25017316400,25017316400,"Census Tract 3164, Middlesex County, Massachusetts",88906,20360
1400000US25017316500,25017316500,"Census Tract 3165, Middlesex County, Massachusetts",99863,8560
1400000US25017317101,25017317101,"Census Tract 3171.01, Middlesex County, Massachusetts",90298,27536
1400000US25017317102,25017317102,"Census Tract 3171.02, Middlesex County, Massachusetts",89241,11703
1400000US25017317103,25017317103,"Census Tract 3171.03, Middlesex County, Massachusetts",128108,8857
1400000US25017317201,25017317201,"Census Tract 3172.01, Middlesex County, Massachusetts",116800,12641
1400000US25017317202,25017317202,"Census Tract 3172.02, Middlesex County, Massachusetts",119075,10614
1400000US25017317203,25017317203,"Census Tract 3172.03, Middlesex County, Massachusetts",86729,6960
1400000US25017317301,25017317301,"Census Tract 3173.01, Middlesex County, Massachusetts",77120,16218
1400000US25017317302,25017317302,"Census Tract 3173.02, Middlesex County, Massachusetts",69440,16179
1400000US25017318100,25017318100,"Census Tract 3181, Middlesex County, Massachusetts",115082,15881
1400000US25017318200,25017318200,"Census Tract 3182, Middlesex County, Massachusetts",107000,9028
1400000US25017318300,25017318300,"Census Tract 3183, Middlesex County, Massachusetts",148770,7637
1400000US25017318400,25017318400,"Census Tract 3184, Middlesex County, Massachusetts",149353,8027
1400000US25017320102,25017320102,"Census Tract 3201.02, Middlesex County, Massachusetts",129596,20528
1400000US25017320103,25017320103,"Census Tract 3201.03, Middlesex County, Massachusetts",114667,29966
1400000US25017320104,25017320104,"Census Tract 3201.04, Middlesex County, Massachusetts",131643,20324
1400000US25017321100,25017321100,"Census Tract 3211, Middlesex County, Massachusetts",79630,12640
1400000US25017321200,25017321200,"Census Tract 3212, Middlesex County, Massachusetts",64122,2820
1400000US25017321300,25017321300,"Census Tract 3213, Middlesex County, Massachusetts",55455,10610
1400000US25017321400,25017321400,"Census Tract 3214, Middlesex County, Massachusetts",94141,16063
1400000US25017321500,25017321500,"Census Tract 3215, Middlesex County, Massachusetts",84010,12237
1400000US25017321600,25017321600,"Census Tract 3216, Middlesex County, Massachusetts",66319,7079
1400000US25017322100,25017322100,"Census Tract 3221, Middlesex County, Massachusetts",108008,10821
1400000US25017322200,25017322200,"Census Tract 3222, Middlesex County, Massachusetts",72529,12588
1400000US25017322300,25017322300,"Census Tract 3223, Middlesex County, Massachusetts",63456,10601
1400000US25017322400,25017322400,"Census Tract 3224, Middlesex County, Massachusetts",77600,11733
1400000US25017323100,25017323100,"Census Tract 3231, Middlesex County, Massachusetts",131500,22912
1400000US25017324101,25017324101,"Census Tract 3241.01, Middlesex County, Massachusetts",104674,19467
1400000US25017324102,25017324102,"Census Tract 3241.02, Middlesex County, Massachusetts",116290,12868
1400000US25017325100,25017325100,"Census Tract 3251, Middlesex County, Massachusetts",67110,9404
1400000US25017326101,25017326101,"Census Tract 3261.01, Middlesex County, Massachusetts",106968,18760
1400000US25017326102,25017326102,"Census Tract 3261.02, Middlesex County, Massachusetts",118005,5550
1400000US25017327101,25017327101,"Census Tract 3271.01, Middlesex County, Massachusetts",79871,13426
1400000US25017327102,25017327102,"Census Tract 3271.02, Middlesex County, Massachusetts",73750,5874
1400000US25017327103,25017327103,"Census Tract 3271.03, Middlesex County, Massachusetts",85240,12284
1400000US25017328100,25017328100,"Census Tract 3281, Middlesex County, Massachusetts",116125,9933
1400000US25017330100,25017330100,"Census Tract 3301, Middlesex County, Massachusetts",138458,15286
1400000US25017330200,25017330200,"Census Tract 3302, Middlesex County, Massachusetts",96161,19450
1400000US25017331101,25017331101,"Census Tract 3311.01, Middlesex County, Massachusetts",92300,18507
1400000US25017331102,25017331102,"Census Tract 3311.02, Middlesex County, Massachusetts",91970,16368
1400000US25017331200,25017331200,"Census Tract 3312, Middlesex County, Massachusetts",104398,13783
1400000US25017331300,25017331300,"Census Tract 3313, Middlesex County, Massachusetts",115169,9065
1400000US25017332100,25017332100,"Census Tract 3321, Middlesex County, Massachusetts",118843,13924
1400000US25017332200,25017332200,"Census Tract 3322, Middlesex County, Massachusetts",85442,6502
1400000US25017332300,25017332300,"Census Tract 3323, Middlesex County, Massachusetts",95057,23703
1400000US25017332400,25017332400,"Census Tract 3324, Middlesex County, Massachusetts",99926,12685
1400000US25017333100,25017333100,"Census Tract 3331, Middlesex County, Massachusetts",82237,17009
1400000US25017333200,25017333200,"Census Tract 3332, Middlesex County, Massachusetts",67639,14424
1400000US25017333300,25017333300,"Census Tract 3333, Middlesex County, Massachusetts",77148,11091
1400000US25017333400,25017333400,"Census Tract 3334, Middlesex County, Massachusetts",80180,8971
1400000US25017333501,25017333501,"Census Tract 3335.01, Middlesex County, Massachusetts",84449,12139
1400000US25017333502,25017333502,"Census Tract 3335.02, Middlesex County, Massachusetts",56250,14275
1400000US25017333600,25017333600,"Census Tract 3336, Middlesex County, Massachusetts",81694,11938
1400000US25017334100,25017334100,"Census Tract 3341, Middlesex County, Massachusetts",105427,12651
1400000US25017334200,25017334200,"Census Tract 3342, Middlesex County, Massachusetts",102692,10888
1400000US25017334300,25017334300,"Census Tract 3343, Middlesex County, Massachusetts",114375,14024
1400000US25017334400,25017334400,"Census Tract 3344, Middlesex County, Massachusetts",85909,13547
1400000US25017335100,25017335100,"Census Tract 3351, Middlesex County, Massachusetts",86316,13836
1400000US25017335200,25017335200,"Census Tract 3352, Middlesex County, Massachusetts",86205,11468
1400000US25017335301,25017335301,"Census Tract 3353.01, Middlesex County, Massachusetts",73643,11751
1400000US25017335302,25017335302,"Census Tract 3353.02, Middlesex County, Massachusetts",78200,11903
1400000US25017335400,25017335400,"Census Tract 3354, Middlesex County, Massachusetts",93269,14448
1400000US25017336100,25017336100,"Census Tract 3361, Middlesex County, Massachusetts",80478,19153
1400000US25017336200,25017336200,"Census Tract 3362, Middlesex County, Massachusetts",123469,11174
1400000US25017336300,25017336300,"Census Tract 3363, Middlesex County, Massachusetts",94912,10904
1400000US25017336401,25017336401,"Census Tract 3364.01, Middlesex County, Massachusetts",66917,12268
1400000US25017336402,25017336402,"Census Tract 3364.02, Middlesex County, Massachusetts",76370,9351
1400000US25017337101,25017337101,"Census Tract 3371.01, Middlesex County, Massachusetts",84196,22060
1400000US25017337102,25017337102,"Census Tract 3371.02, Middlesex County, Massachusetts",94398,11307
1400000US25017337201,25017337201,"Census Tract 3372.01, Middlesex County, Massachusetts",56528,14269
1400000US25017337202,25017337202,"Census Tract 3372.02, Middlesex County, Massachusetts",69670,10141
1400000US25017337300,25017337300,"Census Tract 3373, Middlesex County, Massachusetts",85028,12484
1400000US25017338100,25017338100,"Census Tract 3381, Middlesex County, Massachusetts",160370,18248
1400000US25017338200,25017338200,"Census Tract 3382, Middlesex County, Massachusetts",89595,7020
1400000US25017338300,25017338300,"Census Tract 3383, Middlesex County, Massachusetts",123083,15503
1400000US25017338400,25017338400,"Census Tract 3384, Middlesex County, Massachusetts",174464,31615
1400000US25017338500,25017338500,"Census Tract 3385, Middlesex County, Massachusetts",168466,17817
1400000US25017339100,25017339100,"Census Tract 3391, Middlesex County, Massachusetts",59775,9895
1400000US25017339200,25017339200,"Census Tract 3392, Middlesex County, Massachusetts",99196,12661
1400000US25017339300,25017339300,"Census Tract 3393, Middlesex County, Massachusetts",74250,17182
1400000US25017339400,25017339400,"Census Tract 3394, Middlesex County, Massachusetts",63227,7807
1400000US25017339500,25017339500,"Census Tract 3395, Middlesex County, Massachusetts",75962,22016
1400000US25017339600,25017339600,"Census Tract 3396, Middlesex County, Massachusetts",81250,11533
1400000US25017339700,25017339700,"Census Tract 3397, Middlesex County, Massachusetts",62793,9478
1400000US25017339801,25017339801,"Census Tract 3398.01, Middlesex County, Massachusetts",83886,12938
1400000US25017339802,25017339802,"Census Tract 3398.02, Middlesex County, Massachusetts",61705,16922
1400000US25017339900,25017339900,"Census Tract 3399, Middlesex County, Massachusetts",62361,12605
1400000US25017340000,25017340000,"Census Tract 3400, Middlesex County, Massachusetts",54700,5632
1400000US25017340100,25017340100,"Census Tract 3401, Middlesex County, Massachusetts",98750,15734
1400000US25017341101,25017341101,"Census Tract 3411.01, Middlesex County, Massachusetts",82009,9888
1400000US25017341102,25017341102,"Census Tract 3411.02, Middlesex County, Massachusetts",47017,7845
1400000US25017341200,25017341200,"Census Tract 3412, Middlesex County, Massachusetts",53937,9521
1400000US25017341300,25017341300,"Census Tract 3413, Middlesex County, Massachusetts",42675,8449
