GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0400000US25,25,Massachusetts,957547,5492,35064,1395,73922,2001,110594,2414,111741,2818,115941,2474,90699,2194,59796,1952,74485,2005,232580,3171,52725,1544
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",119,49,5,7,0,12,17,18,35,31,9,9,17,26,0,12,0,12,19,18,17,22
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",371,91,0,12,20,24,101,70,0,12,64,60,36,43,60,70,0,12,80,71,10,15
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",194,79,27,25,9,14,10,15,53,46,20,18,0,17,52,46,12,20,11,17,0,17
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",2052,175,34,33,47,45,262,125,182,119,229,106,260,117,117,75,221,122,662,179,38,56
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",778,207,0,17,144,120,115,98,95,90,117,110,28,50,19,29,10,16,218,121,32,52
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",1197,199,68,73,118,131,116,89,96,108,22,26,89,79,109,99,136,100,277,152,166,119
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",703,118,0,12,102,65,9,16,2,5,96,68,95,58,58,53,56,49,231,92,54,54
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",633,115,0,12,89,66,53,33,29,27,98,73,53,51,48,54,50,44,190,86,23,27
