GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0400000US25,25,Massachusetts,6511176,*****,5390474,5840,399224,3421,12811,1037,312147,1664,2346,456,271040,6810,123134,3768,24322,1693,98812,3290
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",3059,40,2974,77,0,127,0,127,11,9,0,127,19,23,55,63,0,127,55,63
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",4196,197,3889,283,27,42,14,23,0,127,0,127,164,235,102,84,0,127,102,84
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",5323,195,5277,203,9,14,5,8,22,33,0,127,10,16,0,127,0,127,0,127
1400000US25017302100,25017302100,"Census Tract 3021, Middlesex County, Massachusetts",7674,126,6587,289,554,173,22,27,133,85,0,127,142,80,236,170,0,127,236,170
1400000US25017302200,25017302200,"Census Tract 3022, Middlesex County, Massachusetts",174,119,95,76,0,127,0,127,0,127,0,127,49,74,30,46,0,127,30,46
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",3756,517,2424,440,406,290,75,85,131,155,0,127,607,284,113,121,34,34,79,112
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",5959,555,4635,643,156,117,0,127,655,544,0,127,97,80,416,221,149,134,267,181
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",6452,441,4108,472,889,305,0,127,47,53,15,23,1242,414,151,133,54,48,97,128
