GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US25,25,Massachusetts,6511176,*****,5968027,87,5140201,2906,371034,2871,9754,761,310819,1593,1821,258,49574,3514,84824,2585,9648,889,75176,2469,543149,87,250273,4630,28190,1827,3057,644,1328,378,525,312,221466,4709,38310,2400,14674,1327,23636,1985
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",3059,40,3014,48,2948,78,0,127,0,127,11,9,0,127,0,127,55,63,0,127,55,63,45,35,26,26,0,127,0,127,0,127,0,127,19,23,0,127,0,127,0,127
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",4196,197,3939,275,3837,288,27,42,14,23,0,127,0,127,0,127,61,63,0,127,61,63,257,272,52,66,0,127,0,127,0,127,0,127,164,235,41,65,0,127,41,65
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",5323,195,5274,168,5238,175,9,14,5,8,22,33,0,127,0,127,0,127,0,127,0,127,49,61,39,61,0,127,0,127,0,127,0,127,10,16,0,127,0,127,0,127
1400000US25017302100,25017302100,"Census Tract 3021, Middlesex County, Massachusetts",7674,126,6992,209,6036,318,554,173,22,27,133,85,0,127,11,18,236,170,0,127,236,170,682,172,551,189,0,127,0,127,0,127,0,127,131,78,0,127,0,127,0,127
1400000US25017302200,25017302200,"Census Tract 3022, Middlesex County, Massachusetts",174,119,125,97,95,76,0,127,0,127,0,127,0,127,0,127,30,46,0,127,30,46,49,74,0,127,0,127,0,127,0,127,0,127,49,74,0,127,0,127,0,127
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",3756,517,2654,537,1966,399,375,287,75,85,131,155,0,127,81,126,26,35,0,127,26,35,1102,273,458,255,31,52,0,127,0,127,0,127,526,226,87,90,34,34,53,78
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",5959,555,5690,548,4530,632,156,117,0,127,608,534,0,127,15,25,381,216,114,128,267,181,269,175,105,87,0,127,0,127,47,75,0,127,82,71,35,42,35,42,0,127
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",6452,441,4839,433,3628,386,889,305,0,127,47,53,0,127,167,262,108,129,11,17,97,128,1613,365,480,352,0,127,0,127,0,127,15,23,1075,300,43,39,43,39,0,127
