GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",723,107
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",841,324
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",835,203
1400000US25017302100,25017302100,"Census Tract 3021, Middlesex County, Massachusetts",982,245
1400000US25017302200,25017302200,"Census Tract 3022, Middlesex County, Massachusetts",1075,192
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",548,229
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",916,75
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",891,75
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",891,182
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",1065,117
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",827,84
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",953,91
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",793,115
1400000US25017310800,25017310800,"Census Tract 3108, Middlesex County, Massachusetts",674,215
1400000US25017311000,25017311000,"Census Tract 3110, Middlesex County, Massachusetts",356,42
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",1035,158
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",717,93
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",969,60
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",1018,94
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",966,290
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",954,68
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",1011,151
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",1048,333
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",533,80
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",944,93
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",1024,122
1400000US25017312200,25017312200,"Census Tract 3122, Middlesex County, Massachusetts",951,137
1400000US25017312300,25017312300,"Census Tract 3123, Middlesex County, Massachusetts",1048,112
1400000US25017312400,25017312400,"Census Tract 3124, Middlesex County, Massachusetts",863,195
1400000US25017312501,25017312501,"Census Tract 3125.01, Middlesex County, Massachusetts",974,164
1400000US25017312502,25017312502,"Census Tract 3125.02, Middlesex County, Massachusetts",865,194
1400000US25017313101,25017313101,"Census Tract 3131.01, Middlesex County, Massachusetts",755,382
1400000US25017313102,25017313102,"Census Tract 3131.02, Middlesex County, Massachusetts",1189,172
1400000US25017314101,25017314101,"Census Tract 3141.01, Middlesex County, Massachusetts",1128,36
1400000US25017314102,25017314102,"Census Tract 3141.02, Middlesex County, Massachusetts",1075,125
1400000US25017314200,25017314200,"Census Tract 3142, Middlesex County, Massachusetts",958,166
1400000US25017314301,25017314301,"Census Tract 3143.01, Middlesex County, Massachusetts",1011,102
1400000US25017314302,25017314302,"Census Tract 3143.02, Middlesex County, Massachusetts",-,**
1400000US25017315100,25017315100,"Census Tract 3151, Middlesex County, Massachusetts",854,200
1400000US25017315200,25017315200,"Census Tract 3152, Middlesex County, Massachusetts",1229,238
1400000US25017315401,25017315401,"Census Tract 3154.01, Middlesex County, Massachusetts",466,121
1400000US25017315402,25017315402,"Census Tract 3154.02, Middlesex County, Massachusetts",-,**
1400000US25017315403,25017315403,"Census Tract 3154.03, Middlesex County, Massachusetts",1302,653
1400000US25017315500,25017315500,"Census Tract 3155, Middlesex County, Massachusetts",1449,207
1400000US25017316101,25017316101,"Census Tract 3161.01, Middlesex County, Massachusetts",1241,172
1400000US25017316102,25017316102,"Census Tract 3161.02, Middlesex County, Massachusetts",920,754
1400000US25017316201,25017316201,"Census Tract 3162.01, Middlesex County, Massachusetts","2,000+",***
1400000US25017316202,25017316202,"Census Tract 3162.02, Middlesex County, Massachusetts",905,341
1400000US25017316300,25017316300,"Census Tract 3163, Middlesex County, Massachusetts",1193,121
1400000US25017316400,25017316400,"Census Tract 3164, Middlesex County, Massachusetts",1600,908
1400000US25017316500,25017316500,"Census Tract 3165, Middlesex County, Massachusetts",1088,80
1400000US25017317101,25017317101,"Census Tract 3171.01, Middlesex County, Massachusetts",996,279
1400000US25017317102,25017317102,"Census Tract 3171.02, Middlesex County, Massachusetts",1245,120
1400000US25017317103,25017317103,"Census Tract 3171.03, Middlesex County, Massachusetts",-,**
1400000US25017317201,25017317201,"Census Tract 3172.01, Middlesex County, Massachusetts",-,**
1400000US25017317202,25017317202,"Census Tract 3172.02, Middlesex County, Massachusetts",-,**
1400000US25017317203,25017317203,"Census Tract 3172.03, Middlesex County, Massachusetts",945,66
1400000US25017317300,25017317300,"Census Tract 3173, Middlesex County, Massachusetts",1104,197
1400000US25017318100,25017318100,"Census Tract 3181, Middlesex County, Massachusetts",1625,568
1400000US25017318200,25017318200,"Census Tract 3182, Middlesex County, Massachusetts",1095,146
1400000US25017318300,25017318300,"Census Tract 3183, Middlesex County, Massachusetts",1740,515
1400000US25017318400,25017318400,"Census Tract 3184, Middlesex County, Massachusetts",1012,198
1400000US25017320101,25017320101,"Census Tract 3201.01, Middlesex County, Massachusetts",959,610
1400000US25017320102,25017320102,"Census Tract 3201.02, Middlesex County, Massachusetts",973,1752
1400000US25017321100,25017321100,"Census Tract 3211, Middlesex County, Massachusetts",998,114
1400000US25017321200,25017321200,"Census Tract 3212, Middlesex County, Massachusetts",1041,121
1400000US25017321300,25017321300,"Census Tract 3213, Middlesex County, Massachusetts",872,121
1400000US25017321400,25017321400,"Census Tract 3214, Middlesex County, Massachusetts",1769,171
1400000US25017321500,25017321500,"Census Tract 3215, Middlesex County, Massachusetts",931,193
1400000US25017321600,25017321600,"Census Tract 3216, Middlesex County, Massachusetts",1193,98
1400000US25017322100,25017322100,"Census Tract 3221, Middlesex County, Massachusetts",1259,257
1400000US25017322200,25017322200,"Census Tract 3222, Middlesex County, Massachusetts",933,213
1400000US25017322300,25017322300,"Census Tract 3223, Middlesex County, Massachusetts",1011,151
1400000US25017322400,25017322400,"Census Tract 3224, Middlesex County, Massachusetts",1015,137
1400000US25017323100,25017323100,"Census Tract 3231, Middlesex County, Massachusetts",1529,549
1400000US25017324100,25017324100,"Census Tract 3241, Middlesex County, Massachusetts",741,253
1400000US25017325100,25017325100,"Census Tract 3251, Middlesex County, Massachusetts",855,58
1400000US25017326100,25017326100,"Census Tract 3261, Middlesex County, Massachusetts",1503,941
1400000US25017327101,25017327101,"Census Tract 3271.01, Middlesex County, Massachusetts",980,508
1400000US25017327102,25017327102,"Census Tract 3271.02, Middlesex County, Massachusetts",967,429
1400000US25017327103,25017327103,"Census Tract 3271.03, Middlesex County, Massachusetts",672,109
1400000US25017328100,25017328100,"Census Tract 3281, Middlesex County, Massachusetts",493,1631
1400000US25017330100,25017330100,"Census Tract 3301, Middlesex County, Massachusetts",538,1258
1400000US25017330200,25017330200,"Census Tract 3302, Middlesex County, Massachusetts",1334,175
1400000US25017331101,25017331101,"Census Tract 3311.01, Middlesex County, Massachusetts",1770,203
1400000US25017331102,25017331102,"Census Tract 3311.02, Middlesex County, Massachusetts",1391,98
1400000US25017331200,25017331200,"Census Tract 3312, Middlesex County, Massachusetts",1517,719
1400000US25017331300,25017331300,"Census Tract 3313, Middlesex County, Massachusetts",873,459
1400000US25017332100,25017332100,"Census Tract 3321, Middlesex County, Massachusetts",1833,656
1400000US25017332200,25017332200,"Census Tract 3322, Middlesex County, Massachusetts",1537,102
1400000US25017332300,25017332300,"Census Tract 3323, Middlesex County, Massachusetts",1325,178
1400000US25017332400,25017332400,"Census Tract 3324, Middlesex County, Massachusetts",1641,183
1400000US25017333100,25017333100,"Census Tract 3331, Middlesex County, Massachusetts",1204,60
1400000US25017333200,25017333200,"Census Tract 3332, Middlesex County, Massachusetts",1067,95
1400000US25017333300,25017333300,"Census Tract 3333, Middlesex County, Massachusetts",1100,124
1400000US25017333400,25017333400,"Census Tract 3334, Middlesex County, Massachusetts",1171,185
1400000US25017333501,25017333501,"Census Tract 3335.01, Middlesex County, Massachusetts",1206,232
1400000US25017333502,25017333502,"Census Tract 3335.02, Middlesex County, Massachusetts",1095,107
1400000US25017333600,25017333600,"Census Tract 3336, Middlesex County, Massachusetts",1278,96
1400000US25017334100,25017334100,"Census Tract 3341, Middlesex County, Massachusetts",1026,185
1400000US25017334200,25017334200,"Census Tract 3342, Middlesex County, Massachusetts",1045,122
1400000US25017334300,25017334300,"Census Tract 3343, Middlesex County, Massachusetts",267,174
1400000US25017334400,25017334400,"Census Tract 3344, Middlesex County, Massachusetts",900,491
1400000US25017335100,25017335100,"Census Tract 3351, Middlesex County, Massachusetts",1084,156
1400000US25017335200,25017335200,"Census Tract 3352, Middlesex County, Massachusetts",977,114
1400000US25017335300,25017335300,"Census Tract 3353, Middlesex County, Massachusetts",1118,109
1400000US25017335400,25017335400,"Census Tract 3354, Middlesex County, Massachusetts",971,77
1400000US25017336100,25017336100,"Census Tract 3361, Middlesex County, Massachusetts",686,218
1400000US25017336200,25017336200,"Census Tract 3362, Middlesex County, Massachusetts",1462,569
1400000US25017336300,25017336300,"Census Tract 3363, Middlesex County, Massachusetts",1021,330
1400000US25017336401,25017336401,"Census Tract 3364.01, Middlesex County, Massachusetts",1160,47
1400000US25017336402,25017336402,"Census Tract 3364.02, Middlesex County, Massachusetts",963,138
1400000US25017337101,25017337101,"Census Tract 3371.01, Middlesex County, Massachusetts",759,209
1400000US25017337102,25017337102,"Census Tract 3371.02, Middlesex County, Massachusetts",1227,372
1400000US25017337201,25017337201,"Census Tract 3372.01, Middlesex County, Massachusetts",1028,69
1400000US25017337202,25017337202,"Census Tract 3372.02, Middlesex County, Massachusetts",1124,126
1400000US25017337300,25017337300,"Census Tract 3373, Middlesex County, Massachusetts",1297,62
1400000US25017338100,25017338100,"Census Tract 3381, Middlesex County, Massachusetts",1808,971
1400000US25017338200,25017338200,"Census Tract 3382, Middlesex County, Massachusetts",1213,177
1400000US25017338300,25017338300,"Census Tract 3383, Middlesex County, Massachusetts",1475,252
1400000US25017338400,25017338400,"Census Tract 3384, Middlesex County, Massachusetts","2,000+",***
1400000US25017338500,25017338500,"Census Tract 3385, Middlesex County, Massachusetts",797,675
1400000US25017339100,25017339100,"Census Tract 3391, Middlesex County, Massachusetts",632,279
1400000US25017339200,25017339200,"Census Tract 3392, Middlesex County, Massachusetts",1471,198
1400000US25017339300,25017339300,"Census Tract 3393, Middlesex County, Massachusetts",1269,149
1400000US25017339400,25017339400,"Census Tract 3394, Middlesex County, Massachusetts",975,182
1400000US25017339500,25017339500,"Census Tract 3395, Middlesex County, Massachusetts",1237,240
1400000US25017339600,25017339600,"Census Tract 3396, Middlesex County, Massachusetts",1392,95
1400000US25017339700,25017339700,"Census Tract 3397, Middlesex County, Massachusetts",1252,145
1400000US25017339800,25017339800,"Census Tract 3398, Middlesex County, Massachusetts",1429,137
1400000US25017339900,25017339900,"Census Tract 3399, Middlesex County, Massachusetts",1249,127
1400000US25017340000,25017340000,"Census Tract 3400, Middlesex County, Massachusetts",1228,193
1400000US25017340100,25017340100,"Census Tract 3401, Middlesex County, Massachusetts",1391,502
1400000US25017341100,25017341100,"Census Tract 3411, Middlesex County, Massachusetts",1032,97
1400000US25017341200,25017341200,"Census Tract 3412, Middlesex County, Massachusetts",1141,74
1400000US25017341300,25017341300,"Census Tract 3413, Middlesex County, Massachusetts",1136,99
1400000US25017341400,25017341400,"Census Tract 3414, Middlesex County, Massachusetts",1108,85
1400000US25017341500,25017341500,"Census Tract 3415, Middlesex County, Massachusetts",1122,120
1400000US25017341600,25017341600,"Census Tract 3416, Middlesex County, Massachusetts",1237,129
1400000US25017341700,25017341700,"Census Tract 3417, Middlesex County, Massachusetts",877,227
1400000US25017341800,25017341800,"Census Tract 3418, Middlesex County, Massachusetts",1185,251
1400000US25017341900,25017341900,"Census Tract 3419, Middlesex County, Massachusetts",1336,67
1400000US25017342100,25017342100,"Census Tract 3421, Middlesex County, Massachusetts",1033,102
1400000US25017342200,25017342200,"Census Tract 3422, Middlesex County, Massachusetts",1060,73
1400000US25017342300,25017342300,"Census Tract 3423, Middlesex County, Massachusetts",1200,64
1400000US25017342400,25017342400,"Census Tract 3424, Middlesex County, Massachusetts",1118,65
1400000US25017342500,25017342500,"Census Tract 3425, Middlesex County, Massachusetts",1076,93
1400000US25017342600,25017342600,"Census Tract 3426, Middlesex County, Massachusetts",1154,137
1400000US25017350100,25017350100,"Census Tract 3501, Middlesex County, Massachusetts",1260,95
1400000US25017350200,25017350200,"Census Tract 3502, Middlesex County, Massachusetts",1286,85
1400000US25017350300,25017350300,"Census Tract 3503, Middlesex County, Massachusetts",1094,97
1400000US25017350400,25017350400,"Census Tract 3504, Middlesex County, Massachusetts",1602,139
1400000US25017350500,25017350500,"Census Tract 3505, Middlesex County, Massachusetts",1519,135
1400000US25017350600,25017350600,"Census Tract 3506, Middlesex County, Massachusetts",1697,179
1400000US25017350700,25017350700,"Census Tract 3507, Middlesex County, Massachusetts",1061,170
1400000US25017350800,25017350800,"Census Tract 3508, Middlesex County, Massachusetts",1568,165
1400000US25017350900,25017350900,"Census Tract 3509, Middlesex County, Massachusetts",1495,144
1400000US25017351000,25017351000,"Census Tract 3510, Middlesex County, Massachusetts",1460,85
1400000US25017351100,25017351100,"Census Tract 3511, Middlesex County, Massachusetts",1188,71
1400000US25017351200,25017351200,"Census Tract 3512, Middlesex County, Massachusetts",1406,110
1400000US25017351300,25017351300,"Census Tract 3513, Middlesex County, Massachusetts",1127,103
1400000US25017351400,25017351400,"Census Tract 3514, Middlesex County, Massachusetts",1079,98
1400000US25017351500,25017351500,"Census Tract 3515, Middlesex County, Massachusetts",1084,91
1400000US25017352100,25017352100,"Census Tract 3521, Middlesex County, Massachusetts",1577,286
1400000US25017352200,25017352200,"Census Tract 3522, Middlesex County, Massachusetts",1098,234
1400000US25017352300,25017352300,"Census Tract 3523, Middlesex County, Massachusetts",1703,234
1400000US25017352400,25017352400,"Census Tract 3524, Middlesex County, Massachusetts",735,192
1400000US25017352500,25017352500,"Census Tract 3525, Middlesex County, Massachusetts",1319,128
1400000US25017352600,25017352600,"Census Tract 3526, Middlesex County, Massachusetts",1401,143
1400000US25017352700,25017352700,"Census Tract 3527, Middlesex County, Massachusetts",863,138
1400000US25017352800,25017352800,"Census Tract 3528, Middlesex County, Massachusetts",1500,168
1400000US25017352900,25017352900,"Census Tract 3529, Middlesex County, Massachusetts",1460,183
1400000US25017353000,25017353000,"Census Tract 3530, Middlesex County, Massachusetts",1393,183
1400000US25017353100,25017353100,"Census Tract 3531, Middlesex County, Massachusetts",1478,117
1400000US25017353200,25017353200,"Census Tract 3532, Middlesex County, Massachusetts",1678,224
1400000US25017353300,25017353300,"Census Tract 3533, Middlesex County, Massachusetts",1574,151
1400000US25017353400,25017353400,"Census Tract 3534, Middlesex County, Massachusetts",1287,122
1400000US25017353500,25017353500,"Census Tract 3535, Middlesex County, Massachusetts",1389,184
1400000US25017353600,25017353600,"Census Tract 3536, Middlesex County, Massachusetts",1343,89
1400000US25017353700,25017353700,"Census Tract 3537, Middlesex County, Massachusetts",1416,67
1400000US25017353800,25017353800,"Census Tract 3538, Middlesex County, Massachusetts",1628,83
1400000US25017353900,25017353900,"Census Tract 3539, Middlesex County, Massachusetts",1416,36
1400000US25017354000,25017354000,"Census Tract 3540, Middlesex County, Massachusetts",1446,108
1400000US25017354100,25017354100,"Census Tract 3541, Middlesex County, Massachusetts",1498,144
1400000US25017354200,25017354200,"Census Tract 3542, Middlesex County, Massachusetts",1709,235
1400000US25017354300,25017354300,"Census Tract 3543, Middlesex County, Massachusetts",1618,187
1400000US25017354400,25017354400,"Census Tract 3544, Middlesex County, Massachusetts",1607,201
1400000US25017354500,25017354500,"Census Tract 3545, Middlesex County, Massachusetts",1494,135
1400000US25017354600,25017354600,"Census Tract 3546, Middlesex County, Massachusetts",1298,157
1400000US25017354700,25017354700,"Census Tract 3547, Middlesex County, Massachusetts",1728,260
1400000US25017354800,25017354800,"Census Tract 3548, Middlesex County, Massachusetts",1511,220
1400000US25017354900,25017354900,"Census Tract 3549, Middlesex County, Massachusetts",936,88
1400000US25017355000,25017355000,"Census Tract 3550, Middlesex County, Massachusetts",1043,194
1400000US25017356100,25017356100,"Census Tract 3561, Middlesex County, Massachusetts",1569,124
1400000US25017356200,25017356200,"Census Tract 3562, Middlesex County, Massachusetts",1402,98
1400000US25017356300,25017356300,"Census Tract 3563, Middlesex County, Massachusetts",1181,59
1400000US25017356400,25017356400,"Census Tract 3564, Middlesex County, Massachusetts",1270,149
1400000US25017356500,25017356500,"Census Tract 3565, Middlesex County, Massachusetts",1041,152
1400000US25017356601,25017356601,"Census Tract 3566.01, Middlesex County, Massachusetts",1170,137
1400000US25017356602,25017356602,"Census Tract 3566.02, Middlesex County, Massachusetts",1220,87
1400000US25017356700,25017356700,"Census Tract 3567, Middlesex County, Massachusetts",1067,229
1400000US25017357100,25017357100,"Census Tract 3571, Middlesex County, Massachusetts",1681,68
1400000US25017357200,25017357200,"Census Tract 3572, Middlesex County, Massachusetts",1417,136
1400000US25017357300,25017357300,"Census Tract 3573, Middlesex County, Massachusetts",1574,105
1400000US25017357400,25017357400,"Census Tract 3574, Middlesex County, Massachusetts",1821,180
1400000US25017357500,25017357500,"Census Tract 3575, Middlesex County, Massachusetts",1645,118
1400000US25017357600,25017357600,"Census Tract 3576, Middlesex County, Massachusetts",1368,208
1400000US25017357700,25017357700,"Census Tract 3577, Middlesex County, Massachusetts",1352,134
1400000US25017357800,25017357800,"Census Tract 3578, Middlesex County, Massachusetts",1069,376
1400000US25017358100,25017358100,"Census Tract 3581, Middlesex County, Massachusetts",1488,528
1400000US25017358300,25017358300,"Census Tract 3583, Middlesex County, Massachusetts","2,000+",***
1400000US25017358400,25017358400,"Census Tract 3584, Middlesex County, Massachusetts",1717,92
1400000US25017358500,25017358500,"Census Tract 3585, Middlesex County, Massachusetts",397,2203
1400000US25017358600,25017358600,"Census Tract 3586, Middlesex County, Massachusetts",1710,271
1400000US25017358700,25017358700,"Census Tract 3587, Middlesex County, Massachusetts","2,000+",***
1400000US25017359100,25017359100,"Census Tract 3591, Middlesex County, Massachusetts",1152,242
1400000US25017359300,25017359300,"Census Tract 3593, Middlesex County, Massachusetts",1352,82
1400000US25017360100,25017360100,"Census Tract 3601, Middlesex County, Massachusetts","2,000+",***
1400000US25017360200,25017360200,"Census Tract 3602, Middlesex County, Massachusetts",1410,341
1400000US25017361100,25017361100,"Census Tract 3611, Middlesex County, Massachusetts",1772,422
1400000US25017361200,25017361200,"Census Tract 3612, Middlesex County, Massachusetts",1528,286
1400000US25017361300,25017361300,"Census Tract 3613, Middlesex County, Massachusetts",609,157
1400000US25017362100,25017362100,"Census Tract 3621, Middlesex County, Massachusetts","2,000+",***
1400000US25017363101,25017363101,"Census Tract 3631.01, Middlesex County, Massachusetts",961,82
1400000US25017363102,25017363102,"Census Tract 3631.02, Middlesex County, Massachusetts",1073,85
1400000US25017363201,25017363201,"Census Tract 3632.01, Middlesex County, Massachusetts",696,463
1400000US25017363202,25017363202,"Census Tract 3632.02, Middlesex County, Massachusetts",1344,189
1400000US25017364101,25017364101,"Census Tract 3641.01, Middlesex County, Massachusetts",977,70
1400000US25017364102,25017364102,"Census Tract 3641.02, Middlesex County, Massachusetts",979,126
1400000US25017365100,25017365100,"Census Tract 3651, Middlesex County, Massachusetts","2,000+",***
1400000US25017365201,25017365201,"Census Tract 3652.01, Middlesex County, Massachusetts",539,342
1400000US25017365202,25017365202,"Census Tract 3652.02, Middlesex County, Massachusetts",289,184
1400000US25017366100,25017366100,"Census Tract 3661, Middlesex County, Massachusetts",1196,421
1400000US25017366200,25017366200,"Census Tract 3662, Middlesex County, Massachusetts","2,000+",***
1400000US25017367100,25017367100,"Census Tract 3671, Middlesex County, Massachusetts","2,000+",***
1400000US25017367200,25017367200,"Census Tract 3672, Middlesex County, Massachusetts",1949,711
1400000US25017368101,25017368101,"Census Tract 3681.01, Middlesex County, Massachusetts",1779,76
1400000US25017368102,25017368102,"Census Tract 3681.02, Middlesex County, Massachusetts",1538,849
1400000US25017368200,25017368200,"Census Tract 3682, Middlesex County, Massachusetts",1865,309
1400000US25017368300,25017368300,"Census Tract 3683, Middlesex County, Massachusetts",1119,186
1400000US25017368400,25017368400,"Census Tract 3684, Middlesex County, Massachusetts",1285,93
