GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more","Margin of Error; With cash rent: - $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",119,49,102,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,6,0,12,0,12,45,31,17,26,18,17,18,22,17,22
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",371,91,361,91,0,12,0,12,0,12,22,27,0,12,13,20,0,12,0,12,0,12,0,12,0,12,0,12,37,47,52,56,0,12,55,60,58,45,39,48,0,12,85,77,0,12,10,15
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",194,79,194,79,0,17,0,17,0,17,0,17,0,17,0,17,9,14,0,17,0,17,0,17,0,17,0,17,8,13,0,17,15,18,17,19,50,50,48,48,20,22,12,20,15,23,0,17
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",2052,175,2052,175,0,12,0,12,0,12,74,49,177,94,61,38,23,27,84,76,0,12,83,82,25,28,55,66,83,76,50,61,56,45,226,110,166,94,323,115,242,111,278,122,46,57,0,12
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",778,207,746,212,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,43,64,0,17,18,29,59,82,17,28,160,153,38,52,62,57,201,148,43,46,73,65,32,50,32,52
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",1197,199,1150,196,68,79,0,17,28,45,0,17,14,22,0,17,0,17,0,17,0,17,37,61,36,43,0,17,0,17,14,22,10,16,126,107,75,71,192,121,329,169,190,131,31,39,47,45
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",703,118,687,120,0,12,0,12,0,12,18,15,0,12,21,29,25,39,0,12,55,64,27,40,0,12,32,40,8,13,30,36,50,51,53,45,30,35,78,50,119,70,141,83,0,12,16,19
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",633,115,617,113,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,25,47,49,10,16,11,16,56,49,70,62,290,96,93,44,19,21,0,12,16,23
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",612,143,589,144,9,14,0,17,0,17,24,22,111,83,0,17,29,33,50,63,23,38,0,17,0,17,91,76,0,17,0,17,0,17,33,37,10,17,140,81,15,24,54,67,0,17,23,28
