GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; No bedroom:,Margin of Error; No bedroom:,Estimate; No bedroom: - With cash rent:,Margin of Error; No bedroom: - With cash rent:,Estimate; No bedroom: - With cash rent: - Less than $200,Margin of Error; No bedroom: - With cash rent: - Less than $200,Estimate; No bedroom: - With cash rent: - $200 to $299,Margin of Error; No bedroom: - With cash rent: - $200 to $299,Estimate; No bedroom: - With cash rent: - $300 to $499,Margin of Error; No bedroom: - With cash rent: - $300 to $499,Estimate; No bedroom: - With cash rent: - $500 to $749,Margin of Error; No bedroom: - With cash rent: - $500 to $749,Estimate; No bedroom: - With cash rent: - $750 to $999,Margin of Error; No bedroom: - With cash rent: - $750 to $999,"Estimate; No bedroom: - With cash rent: - $1,000 or more","Margin of Error; No bedroom: - With cash rent: - $1,000 or more",Estimate; No bedroom: - No cash rent,Margin of Error; No bedroom: - No cash rent,Estimate; 1 bedroom:,Margin of Error; 1 bedroom:,Estimate; 1 bedroom: - With cash rent:,Margin of Error; 1 bedroom: - With cash rent:,Estimate; 1 bedroom: - With cash rent: - Less than $200,Margin of Error; 1 bedroom: - With cash rent: - Less than $200,Estimate; 1 bedroom: - With cash rent: - $200 to $299,Margin of Error; 1 bedroom: - With cash rent: - $200 to $299,Estimate; 1 bedroom: - With cash rent: - $300 to $499,Margin of Error; 1 bedroom: - With cash rent: - $300 to $499,Estimate; 1 bedroom: - With cash rent: - $500 to $749,Margin of Error; 1 bedroom: - With cash rent: - $500 to $749,Estimate; 1 bedroom: - With cash rent: - $750 to $999,Margin of Error; 1 bedroom: - With cash rent: - $750 to $999,"Estimate; 1 bedroom: - With cash rent: - $1,000 or more","Margin of Error; 1 bedroom: - With cash rent: - $1,000 or more",Estimate; 1 bedroom: - No cash rent,Margin of Error; 1 bedroom: - No cash rent,Estimate; 2 bedrooms:,Margin of Error; 2 bedrooms:,Estimate; 2 bedrooms: - With cash rent:,Margin of Error; 2 bedrooms: - With cash rent:,Estimate; 2 bedrooms: - With cash rent: - Less than $200,Margin of Error; 2 bedrooms: - With cash rent: - Less than $200,Estimate; 2 bedrooms: - With cash rent: - $200 to $299,Margin of Error; 2 bedrooms: - With cash rent: - $200 to $299,Estimate; 2 bedrooms: - With cash rent: - $300 to $499,Margin of Error; 2 bedrooms: - With cash rent: - $300 to $499,Estimate; 2 bedrooms: - With cash rent: - $500 to $749,Margin of Error; 2 bedrooms: - With cash rent: - $500 to $749,Estimate; 2 bedrooms: - With cash rent: - $750 to $999,Margin of Error; 2 bedrooms: - With cash rent: - $750 to $999,"Estimate; 2 bedrooms: - With cash rent: - $1,000 or more","Margin of Error; 2 bedrooms: - With cash rent: - $1,000 or more",Estimate; 2 bedrooms: - No cash rent,Margin of Error; 2 bedrooms: - No cash rent,Estimate; 3 or more bedrooms:,Margin of Error; 3 or more bedrooms:,Estimate; 3 or more bedrooms: - With cash rent:,Margin of Error; 3 or more bedrooms: - With cash rent:,Estimate; 3 or more bedrooms: - With cash rent: - Less than $200,Margin of Error; 3 or more bedrooms: - With cash rent: - Less than $200,Estimate; 3 or more bedrooms: - With cash rent: - $200 to $299,Margin of Error; 3 or more bedrooms: - With cash rent: - $200 to $299,Estimate; 3 or more bedrooms: - With cash rent: - $300 to $499,Margin of Error; 3 or more bedrooms: - With cash rent: - $300 to $499,Estimate; 3 or more bedrooms: - With cash rent: - $500 to $749,Margin of Error; 3 or more bedrooms: - With cash rent: - $500 to $749,Estimate; 3 or more bedrooms: - With cash rent: - $750 to $999,Margin of Error; 3 or more bedrooms: - With cash rent: - $750 to $999,"Estimate; 3 or more bedrooms: - With cash rent: - $1,000 or more","Margin of Error; 3 or more bedrooms: - With cash rent: - $1,000 or more",Estimate; 3 or more bedrooms: - No cash rent,Margin of Error; 3 or more bedrooms: - No cash rent
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",119,49,17,23,17,23,0,12,0,12,0,12,0,12,0,12,17,23,0,12,4,6,4,6,0,12,0,12,0,12,0,12,4,6,0,12,0,12,30,19,30,19,0,12,0,12,0,12,0,12,0,12,30,19,0,12,68,46,51,41,0,12,0,12,0,12,0,12,0,12,51,41,17,22
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",371,91,57,62,57,62,0,12,0,12,0,12,27,44,30,48,0,12,0,12,140,70,140,70,0,12,22,27,13,20,55,55,50,43,0,12,0,12,43,42,33,41,0,12,0,12,0,12,0,12,33,41,0,12,10,15,131,83,131,83,0,12,0,12,0,12,7,13,0,12,124,84,0,12
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",194,79,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,22,23,22,0,17,0,17,0,17,8,13,15,18,0,17,0,17,76,50,76,50,0,17,0,17,9,14,0,17,56,46,11,17,0,17,95,57,95,57,0,17,0,17,0,17,0,17,11,17,84,54,0,17
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",2052,175,234,111,234,111,0,12,18,28,47,57,98,86,31,51,40,48,0,12,926,210,926,210,0,12,191,95,31,30,134,84,266,106,304,131,0,12,787,197,787,197,0,12,42,37,90,52,64,67,133,91,458,175,0,12,105,81,105,81,0,12,0,12,0,12,0,12,18,31,87,74,0,12
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",778,207,29,35,29,35,0,17,0,17,0,17,10,19,19,27,0,17,0,17,180,109,148,110,0,17,0,17,0,17,17,28,104,102,27,31,32,52,410,173,410,173,0,17,0,17,0,17,92,97,73,108,245,151,0,17,159,122,159,122,0,17,0,17,0,17,18,29,64,103,77,65,0,17
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",1197,199,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,182,101,165,99,45,71,14,22,0,17,14,22,77,75,15,25,17,26,629,190,599,188,51,44,0,17,0,17,0,17,122,90,426,176,30,35,386,154,386,154,0,17,0,17,0,17,73,72,12,19,301,146,0,17
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",703,118,94,75,94,75,0,12,0,12,55,64,30,35,9,15,0,12,0,12,116,74,116,74,0,12,9,15,0,12,59,55,48,48,0,12,0,12,120,70,120,70,0,12,9,14,0,12,8,13,68,54,35,41,0,12,373,101,357,106,0,12,0,12,46,47,0,12,8,13,303,107,16,19
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",633,115,26,42,26,42,0,12,0,12,0,12,0,12,0,12,26,42,0,12,60,38,60,38,0,12,0,12,0,12,21,25,39,27,0,12,0,12,295,109,295,109,0,12,0,12,0,12,36,45,86,75,173,74,0,12,252,76,236,73,0,12,0,12,0,12,21,25,12,18,203,67,16,23
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",612,143,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,333,135,333,135,0,17,131,89,102,88,22,32,17,23,61,71,0,17,240,115,240,115,9,14,4,14,0,17,69,67,26,32,132,76,0,17,39,41,16,30,0,17,0,17,0,17,0,17,0,17,16,30,23,28
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",843,183,13,21,13,21,0,17,0,17,0,17,0,17,13,21,0,17,0,17,180,91,180,91,0,17,0,17,0,17,45,62,78,55,57,43,0,17,479,152,479,152,0,17,0,17,0,17,13,21,94,84,372,129,0,17,171,121,157,117,0,17,0,17,0,17,0,17,0,17,157,117,14,24
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",1117,131,83,46,83,46,0,17,10,15,43,33,30,28,0,17,0,17,0,17,261,73,261,73,0,17,17,18,52,47,76,41,82,54,34,30,0,17,294,102,294,102,0,17,0,17,18,28,33,34,99,72,144,86,0,17,479,104,479,104,0,17,0,17,39,44,0,17,80,57,360,80,0,17
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",705,58,18,19,18,19,0,12,9,13,0,12,0,12,0,12,9,14,0,12,147,47,147,47,10,15,0,12,0,12,0,12,15,17,122,40,0,12,329,62,329,62,11,13,0,12,17,16,29,24,106,50,166,49,0,12,211,62,211,62,0,12,0,12,14,21,9,13,24,26,164,58,0,12
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",727,103,191,77,191,77,0,12,0,12,0,12,164,72,10,15,17,25,0,12,80,46,80,46,0,12,0,12,0,12,38,37,30,35,12,19,0,12,195,78,186,77,18,26,0,12,14,21,0,12,131,74,23,24,9,14,261,96,261,96,0,12,0,12,0,12,18,25,32,37,211,91,0,12
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",796,115,52,60,52,60,0,12,0,12,0,12,0,12,31,49,21,33,0,12,291,101,291,101,0,12,0,12,4,7,41,39,227,95,19,21,0,12,308,99,308,99,0,12,30,47,0,12,9,14,134,71,135,72,0,12,145,65,136,66,0,12,0,12,0,12,19,23,9,14,108,57,9,13
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",1690,198,108,87,108,87,0,17,0,17,0,17,10,16,0,17,98,85,0,17,384,160,384,160,0,17,0,17,0,17,11,17,248,129,125,114,0,17,1038,254,1013,252,0,17,0,17,107,103,91,100,230,140,585,208,25,39,160,106,160,106,0,17,0,17,0,17,0,17,0,17,160,106,0,17
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",451,107,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,105,49,105,49,0,12,0,12,11,17,0,12,66,38,28,26,0,12,131,61,126,61,0,12,0,12,12,18,13,15,10,15,91,55,5,8,215,85,206,86,0,12,0,12,0,12,0,12,21,17,185,85,9,16
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",556,114,22,36,22,36,0,17,0,17,0,17,22,36,0,17,0,17,0,17,78,47,78,47,0,17,10,17,0,17,0,17,32,28,36,43,0,17,267,88,256,87,0,17,7,13,0,17,38,28,54,38,157,84,11,16,189,97,181,96,14,21,0,17,29,30,35,54,9,14,94,72,8,13
1400000US25017311700,25017311700,"Census Tract 3117, Middlesex County, Massachusetts",881,132,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,139,85,139,85,0,12,0,12,0,12,35,44,81,63,23,28,0,12,436,105,436,105,0,12,0,12,0,12,26,30,150,76,260,102,0,12,306,92,306,92,0,12,0,12,35,42,0,12,15,24,256,90,0,12
1400000US25017311800,25017311800,"Census Tract 3118, Middlesex County, Massachusetts",651,93,46,46,46,46,0,12,24,37,0,12,0,12,22,30,0,12,0,12,166,77,166,77,0,12,0,12,10,16,10,15,90,63,56,49,0,12,170,76,170,76,0,12,0,12,8,13,21,27,43,37,98,63,0,12,269,100,269,100,14,22,0,12,14,23,75,57,34,39,132,75,0,12
1400000US25017311900,25017311900,"Census Tract 3119, Middlesex County, Massachusetts",896,102,104,70,104,70,0,12,0,12,19,30,66,61,19,31,0,12,0,12,184,66,184,66,0,12,42,29,61,49,6,9,24,29,51,47,0,12,420,87,396,86,0,12,99,50,61,43,118,57,38,38,80,50,24,30,188,79,188,79,0,12,37,39,0,12,8,13,50,44,93,66,0,12
1400000US25017312000,25017312000,"Census Tract 3120, Middlesex County, Massachusetts",711,84,18,21,18,21,0,12,0,12,0,12,13,20,5,7,0,12,0,12,61,41,61,41,0,12,0,12,5,7,16,21,19,22,21,26,0,12,327,86,312,93,0,12,9,15,0,12,36,29,123,69,144,68,15,23,305,86,305,86,0,12,8,12,26,30,42,32,39,33,190,69,0,12
1400000US25017312100,25017312100,"Census Tract 3121, Middlesex County, Massachusetts",757,116,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,203,74,196,73,7,11,68,63,44,25,34,34,24,38,19,30,7,11,327,95,327,95,0,12,0,12,7,11,83,55,69,57,168,85,0,12,227,88,218,85,0,12,0,12,10,16,0,12,49,36,159,74,9,15
