GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - Built 2010 or later,Margin of Error; Median gross rent -- - Total: - Built 2010 or later,Estimate; Median gross rent -- - Total: - Built 2000 to 2009,Margin of Error; Median gross rent -- - Total: - Built 2000 to 2009,Estimate; Median gross rent -- - Total: - Built 1990 to 1999,Margin of Error; Median gross rent -- - Total: - Built 1990 to 1999,Estimate; Median gross rent -- - Total: - Built 1980 to 1989,Margin of Error; Median gross rent -- - Total: - Built 1980 to 1989,Estimate; Median gross rent -- - Total: - Built 1970 to 1979,Margin of Error; Median gross rent -- - Total: - Built 1970 to 1979,Estimate; Median gross rent -- - Total: - Built 1960 to 1969,Margin of Error; Median gross rent -- - Total: - Built 1960 to 1969,Estimate; Median gross rent -- - Total: - Built 1950 to 1959,Margin of Error; Median gross rent -- - Total: - Built 1950 to 1959,Estimate; Median gross rent -- - Total: - Built 1940 to 1949,Margin of Error; Median gross rent -- - Total: - Built 1940 to 1949,Estimate; Median gross rent -- - Total: - Built 1939 or earlier,Margin of Error; Median gross rent -- - Total: - Built 1939 or earlier
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",1279,259,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,1449,703
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",903,132,-,**,-,**,-,**,675,253,944,1220,950,149,922,232,-,**,1625,652
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",996,130,-,**,-,**,-,**,1455,1349,-,**,1038,543,-,**,-,**,1066,159
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",917,78,-,**,1663,407,980,851,847,55,790,644,842,236,835,139,1108,402,939,192
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",961,239,-,**,-,**,-,**,-,**,1319,758,1040,130,1133,92,-,**,791,251
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",1217,168,-,**,-,**,1047,819,1375,348,-,**,1185,331,1325,847,1281,370,1120,320
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",982,279,-,**,-,**,-,**,1042,1408,-,**,981,222,1021,310,1104,689,968,655
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",1081,52,-,**,-,**,692,332,-,**,1051,114,-,**,-,**,1152,437,1080,53
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",627,245,-,**,289,969,-,**,628,322,637,551,482,636,-,**,-,**,-,**
