GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - Moved in 2010 or later,Margin of Error; Median gross rent -- - Total: - Moved in 2010 or later,Estimate; Median gross rent -- - Total: - Moved in 2000 to 2009,Margin of Error; Median gross rent -- - Total: - Moved in 2000 to 2009,Estimate; Median gross rent -- - Total: - Moved in 1990 to 1999,Margin of Error; Median gross rent -- - Total: - Moved in 1990 to 1999,Estimate; Median gross rent -- - Total: - Moved in 1980 to 1989,Margin of Error; Median gross rent -- - Total: - Moved in 1980 to 1989,Estimate; Median gross rent -- - Total: - Moved in 1970 to 1979,Margin of Error; Median gross rent -- - Total: - Moved in 1970 to 1979,Estimate; Median gross rent -- - Total: - Moved in 1969 or earlier,Margin of Error; Median gross rent -- - Total: - Moved in 1969 or earlier
1400000US25017300100,25017300100,"Census Tract 3001, Middlesex County, Massachusetts",1279,259,1500,599,1133,235,-,**,-,**,-,**,-,**
1400000US25017301101,25017301101,"Census Tract 3011.01, Middlesex County, Massachusetts",903,132,868,120,741,298,1675,546,-,**,-,**,-,**
1400000US25017301102,25017301102,"Census Tract 3011.02, Middlesex County, Massachusetts",996,130,1250,402,961,150,-,**,-,**,-,**,-,**
1400000US25017310100,25017310100,"Census Tract 3101, Middlesex County, Massachusetts",917,78,1018,147,858,70,585,410,-,**,-,**,-,**
1400000US25017310200,25017310200,"Census Tract 3102, Middlesex County, Massachusetts",961,239,1013,331,1123,171,751,357,-,**,-,**,-,**
1400000US25017310300,25017310300,"Census Tract 3103, Middlesex County, Massachusetts",1217,168,983,239,1336,155,961,144,-,**,-,**,-,**
1400000US25017310400,25017310400,"Census Tract 3104, Middlesex County, Massachusetts",982,279,786,386,1239,247,-,**,-,**,-,**,-,**
1400000US25017310500,25017310500,"Census Tract 3105, Middlesex County, Massachusetts",1081,52,1101,73,1055,119,900,428,-,**,-,**,-,**
1400000US25017310601,25017310601,"Census Tract 3106.01, Middlesex County, Massachusetts",627,245,1002,541,463,445,272,138,-,**,-,**,-,**
1400000US25017310602,25017310602,"Census Tract 3106.02, Middlesex County, Massachusetts",1169,109,1255,169,1024,178,-,**,-,**,-,**,-,**
1400000US25017310700,25017310700,"Census Tract 3107, Middlesex County, Massachusetts",981,75,1096,129,945,120,771,289,-,**,-,**,-,**
1400000US25017311100,25017311100,"Census Tract 3111, Middlesex County, Massachusetts",1102,50,1109,85,1110,88,1006,110,-,**,-,**,-,**
1400000US25017311200,25017311200,"Census Tract 3112, Middlesex County, Massachusetts",894,87,935,214,910,73,-,**,-,**,-,**,-,**
1400000US25017311300,25017311300,"Census Tract 3113, Middlesex County, Massachusetts",952,33,931,73,967,47,917,271,-,**,-,**,-,**
1400000US25017311400,25017311400,"Census Tract 3114, Middlesex County, Massachusetts",1044,52,1055,56,1041,109,788,318,-,**,-,**,-,**
1400000US25017311500,25017311500,"Census Tract 3115, Middlesex County, Massachusetts",1114,59,1183,241,1114,43,817,122,-,**,-,**,-,**
1400000US25017311600,25017311600,"Census Tract 3116, Middlesex County, Massachusetts",1030,115,1136,59,927,378,482,676,-,**,-,**,-,**
